style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,OBSYDIA - It’s Showtime!!  (Official Music Video)【NIJISANJI EN】,MV,181,2025-06-10T13:00:06Z,Tuesday,Summer,56992,8482,366,0.15524985962942167
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,BY THE BEAT「Satellite」Official Music Video 【NIJISANJI EN】,MV,169,2025-03-15T04:30:06Z,Saturday,Spring,1879376,79000,1759,0.04297117766748112
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Luca Kaneshiro x Yu Q. Wilson「Butterflies」Official Music Video【NIJI ENcounter】,MV,184,2025-02-12T04:00:06Z,Wednesday,Winter,1377500,29577,1189,0.022334664246823958
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Meloco Kyoran x Ike Eveland「Boot it!」Official Music Video【NIJI ENcounter】,MV,200,2025-01-16T03:30:06Z,Thursday,Winter,1326524,27861,779,0.021590261465303302
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Vezalius Bandage x Vox Akuma「Heavy Lies The Head」Official Music Video【NIJI ENcounter】,MV,200,2024-12-12T04:00:06Z,Thursday,Winter,2009911,51318,1616,0.026336489526153146
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Enna Alouette × Elira Pendora「SOLAR DAWN」Official Music Video【NIJI ENcounter】,MV,252,2024-11-14T03:30:07Z,Thursday,Fall,1552016,28671,1122,0.01919632271832249
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Uki Violeta × Rosemi Lovelock「WE BE UNION」Official Music Video【NIJI ENcounter】,MV,164,2024-10-17T04:00:06Z,Thursday,Fall,1585126,31634,803,0.020463357487038886
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Finana Ryugu × Millie Parfait「Fly Away」Official Music Video【NIJI ENcounter】,MV,212,2024-09-12T03:10:07Z,Thursday,Fall,1010808,19833,1053,0.020662677778569224
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Claude Clawmark × Alban Knox「SHADE」Official Music Video【NIJI ENcounter】,MV,193,2024-08-12T02:15:06Z,Monday,Summer,3373720,51114,1380,0.015559678930083113
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Petra Gurin × Reimu Endou「What’s waiting for us」Official Music Video【NIJI ENcounter】,MV,239,2024-07-12T03:30:06Z,Friday,Summer,1821493,23040,694,0.01302997046927987
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Ren Zotto × Doppio Dropscythe「Play Back」Official Music Video【NIJI ENcounter】,MV,192,2024-06-12T03:00:06Z,Wednesday,Summer,3232697,71187,1466,0.02247442305913607
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,"Denauth - Sugary, Spooky Official Music Video【NIJISANJI EN】",MV,213,2024-05-25T04:00:08Z,Saturday,Spring,866809,23907,519,0.02817921825915513
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Shu Yamino × Sonny Brisko「INFINITY」Official Music Video【NIJI ENcounter】,MV,187,2024-05-12T03:00:06Z,Sunday,Spring,6006824,116553,3147,0.01992733597654934
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,DESIRE (Official Music Video) | NIJISANJI EN,MV,210,2024-04-26T03:00:06Z,Friday,Spring,241702,16520,391,0.069966322165311
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Noctyx - BREAK FREE (Official Music Video)｜NIJISANJI EN,MV,216,2024-02-22T04:00:08Z,Thursday,Winter,6982392,85964,3546,0.012819389114790462
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,LazuLight - Light Me Up (Official Music Video)｜NIJISANJI EN,MV,236,2023-06-04T03:00:10Z,Sunday,Summer,720747,42519,925,0.06027635217350887
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,Cage of Desire (Official Music Video) | Higan: Eruthyll × NIJISANJI EN,MV,225,2023-04-03T12:00:10Z,Monday,Spring,3938934,56702,1097,0.014673767064896238
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,LazuLight - Diamond City Lights【3D performance】| NIJISANJI EN,Live,271,2023-01-31T01:00:01Z,Tuesday,Winter,1231688,82908,2153,0.06906050883015828
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,XSOLEIL - HOLD IT DOWN (Official Music Video) | NIJISANJI EN,MV,183,2022-12-07T04:00:09Z,Wednesday,Winter,9826125,179764,5235,0.01882725896525843
vTubers,UC-JSeFfovhNsEhftt1WHMvg,863000,ILUNA - Let's Get It Started (Official Music Video) | NIJISANJI EN,MV,196,2022-07-25T04:00:11Z,Monday,Summer,8254217,196791,5109,0.024460224391968374
