style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,ネバーフィクション (NeverFiction)【Ver. 雪見 × Reimu Endou】,Cover,127,2025-06-21T11:00:06Z,Saturday,Summer,54807,7120,338,0.13607750834747387
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,ブライダルドリーム (Bridal Dream)【Ver. Maria Marionette × Reimu Endou】,Cover,194,2025-03-14T15:00:06Z,Friday,Spring,26090,3458,166,0.13890379455730165
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,おかあさんの唄 (Mother's song)【ver. Reimu Endou | NIJISANJI EN 】,Cover,316,2024-08-03T14:00:06Z,Saturday,Summer,307266,18333,390,0.06093417429849056
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,僕が死のうと思ったのは (The reason I wanted to die)【ver. Reimu Endou | NIJISANJI EN 】,Cover,386,2024-06-02T03:00:06Z,Sunday,Summer,288331,16004,408,0.056920691843749024
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,恋愛偏差値上昇中! (Love Percentile on the Rise!)【ver. Reimu Endou | NIJISANJI EN 】,Cover,204,2024-05-25T15:00:06Z,Saturday,Spring,34393,3337,160,0.1016776669671154
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,チューリングラブ (Turing Love)【Ver. アステル/Astel Leda × Reimu Endou】,Cover,222,2024-04-20T14:00:06Z,Saturday,Spring,193276,15197,458,0.08099815807446346
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,きみのとなりで / By Your Side (Original Song)【Reimu Endou | NIJISANJI EN 】,MV,123,2023-11-02T22:55:11Z,Thursday,Fall,274221,16069,524,0.06050958898115024
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,可愛くてごめん (Sorry I'm So Cute!)【ver. Reimu Endou | NIJISANJI EN 】,Cover,221,2023-03-19T15:00:11Z,Sunday,Spring,743433,43566,720,0.0595695913417887
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,ラブレター (Love Letter) ft. Ethyria【ver. Reimu Endou | NIJISANJI EN 】,Cover,220,2022-10-09T14:00:12Z,Sunday,Fall,697354,36926,1052,0.05446014506262243
vTubers,UCBURM8S4LH7cRZ0Clea9RDA,411000,推し変なんて許さない！(Oshihen nante yurusanai)【ver. Reimu Endou | NIJISANJI EN 】,Cover,216,2022-07-15T13:00:11Z,Friday,Summer,486637,31035,1230,0.06630198690194128
