style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,🌠 スタードーム「Star Dome」🌠 ver. Cinnamoroll & Uki Violeta,Cover,312,2025-06-14T16:00:06Z,Saturday,Summer,35922,5563,158,0.15926173375647235
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,Gimme×Gimme ver. Uki Violeta & 鬼間Kima,Cover,221,2025-06-06T15:00:06Z,Friday,Summer,142616,15304,300,0.10941268861838783
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,蜜月アン・ドゥ・トロワ (Honeymoon Un Deux Trois) ver. Uki Violeta & Fulgur Ovid,Cover,255,2025-06-02T16:00:06Z,Monday,Summer,569075,56416,2184,0.10297412467600932
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,Virtual To LIVE (ver. NOCTYX) 【#NOCTYX3rdYear】,Cover,269,2025-03-20T02:00:06Z,Thursday,Spring,418994,36578,1332,0.09047862260557431
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,"🪽 ""If I Can Stop One Heart From Breaking"" 🪽 / Chevy ver. Uki Violeta【NIJISANJI EN】",Cover,205,2024-07-17T23:00:06Z,Wednesday,Summer,286641,19782,512,0.07079936226848217
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,"""Children of the Stars"" - Uki Violeta【NIJISANJI EN | Uki Violeta】Original Song",MV,261,2024-03-30T17:00:06Z,Saturday,Spring,363580,21584,917,0.0618873425380934
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,フォニイ (phony) | ツミキ ver. Uki Violeta【NIJISANJI EN】,Cover,190,2023-09-01T16:00:07Z,Friday,Fall,1364328,70048,1331,0.0523180642777983
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,紫罗兰 (Violeta) ver. Uki Violeta【NIJISANJI EN】,Cover,157,2023-07-03T00:00:07Z,Monday,Summer,268705,25074,981,0.09696507322156268
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,"""LUNAM"" / NOCTYX 1-Year Anniversary Song - Uki Violeta【NIJISANJI EN】Original Song",Cover,241,2023-02-23T00:00:09Z,Thursday,Winter,1029208,70359,1813,0.07012382336709393
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,"""Starlight, Stargazer"" - Uki Violeta【NIJISANJI EN】Original Song",MV,316,2023-02-06T23:30:09Z,Monday,Winter,910835,52523,1643,0.05946850966420921
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,うらみのワルツ (Waltz of Malice) / Kikuo ver. Uki Violeta【NIJISANJI EN】,Cover,251,2022-10-31T04:00:07Z,Monday,Fall,2167429,77098,1617,0.03631722192514726
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,花に亡霊 (Hana ni Bourei) / ヨルシカ ver. Uki Violeta【NIJISANJI EN】,Cover,242,2022-09-05T04:00:09Z,Monday,Fall,2233807,92440,2000,0.04227760052681364
vTubers,UChJ5FTsHOu72_5OVx0rvsvQ,658000,"""Deja Vu"" - Uki Violeta【NIJISANJI EN】Original Lore Song",MV,354,2022-02-27T06:13:13Z,Sunday,Winter,6264955,185553,4542,0.030342596235727153
