style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* ドレミファロンド〖 歌って踊ってみたLive ver 〗┊天宮こころ without剣持刀也,Live,205,2025-07-28T10:00:11Z,Monday,Summer,592571,39949,800,0.06876644317727328
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* ポケットのモンスター┊天宮こころ 〖 歌ってみた 〗,Cover,222,2025-07-01T09:00:06Z,Tuesday,Summer,124195,7394,147,0.0607190305567857
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.*〖 歌ってみたLive ver〗ポケットのモンスター /ピノキオピー┊The Pokémon Inside My Heart（　天宮こころ / にじさんじ　）,Live,222,2024-09-02T09:00:11Z,Monday,Fall,142848,5429,62,0.03843946012544803
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 異星にいこうね┊天宮こころ 〖 歌ってみた 〗,Cover,170,2024-07-01T08:00:07Z,Monday,Summer,374988,17359,206,0.04684149892796569
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 強風オールバック┊天宮こころ 〖 歌ってみた 〗,Cover,137,2023-08-02T03:00:10Z,Wednesday,Summer,831699,31009,363,0.03772037720377204
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 可愛くてごめん┊天宮こころ 〖 歌ってみた 〗,Cover,221,2023-07-01T12:00:10Z,Saturday,Summer,918816,35040,535,0.03871830703862362
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* ヴァンパイア(Kawaii Future Bassアレンジ)┊天宮こころ 〖 歌ってみた 〗,Cover,180,2023-02-12T06:08:32Z,Sunday,Winter,1048861,39915,523,0.038554203083154014
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* DONBURA KONBURA SPEAKERS (Cover) ┊ロリコロール,Cover,183,2023-01-01T03:00:10Z,Sunday,Winter,1081648,34890,450,0.032672366610949216
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* ヒトリゴト -  ClariS(Covered by ぽさんけ)  ┊天宮こころ/エリー・コニファー/ラトナ・プティ #ぽさんけ3周年記念,Cover,234,2022-08-08T11:00:14Z,Monday,Summer,1359605,29801,344,0.022171880803615755
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 水星 - tofubeats feat.オノマトペ大臣(Cover) ┊ 天宮こころ×不破湊,Cover,276,2022-03-27T13:00:10Z,Sunday,Spring,3292317,65152,842,0.020044849873204797
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* きゅうくらりん┊天宮こころ 〖 歌ってみた 〗,Cover,216,2022-02-20T10:00:32Z,Sunday,Winter,6473297,130902,1305,0.02042344109964366
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,【#NJU歌謡祭2021】Booo! ／ あまつかいまごころ cover( 天宮こころ・魔使マオ ) 【3D LIVE】,Live,174,2022-01-20T09:00:14Z,Thursday,Winter,1278211,32880,358,0.0260035314983207
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* ユキトキ┊天宮こころ 〖 歌ってみた 〗 3D LIVE,Live,272,2021-12-24T09:00:12Z,Friday,Winter,575460,17101,264,0.03017585931254996
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* Snow halation-µ's (Cover)│♔Lilly Crown（夜見れな・鷹宮リオン・天宮こころ・椎名唯華）#りりくら,Cover,260,2020-12-23T13:00:10Z,Wednesday,Winter,1436925,32559,513,0.02301581502166084
