style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Haru no yokan / ChroNoiR,MV,221,2025-03-31T10:00:06Z,Monday,Spring,6555834,58993,1035,0.009156424644065119
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,深愛 / ChroNoiR,MV,223,2024-12-17T15:00:06Z,Tuesday,Winter,6038746,148120,2002,0.024859797050579707
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Ctrl Z / ChroNoiR,MV,230,2024-11-17T15:00:08Z,Sunday,Fall,832602,32893,824,0.04049593923627375
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,二人でゲームしている,MV,134,2024-07-18T08:23:07Z,Thursday,Summer,79820,4568,88,0.05833124530192934
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Catch Fire / ChroNoiR,MV,194,2024-07-16T15:00:06Z,Tuesday,Summer,1614293,42782,1006,0.027125187311101515
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Twilight / ChroNoiR,MV,300,2024-02-07T11:00:11Z,Wednesday,Winter,1317741,35886,721,0.02778011764071999
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Torpor / ChroNoiR,MV,178,2024-01-15T10:00:07Z,Monday,Winter,1560381,36080,551,0.023475676773813577
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,VVS / ChroNoiR,MV,260,2024-01-08T09:00:09Z,Monday,Winter,6377515,112440,1730,0.017901957110253757
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,カオティックライバー / ChroNoiR,MV,158,2023-08-20T14:30:12Z,Sunday,Summer,2514413,52042,884,0.021049048028307205
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,ChroNoiR スターブラックゲイザー (#にじフェス2022_Day2 LIVE Special Edit Ver.),Live,266,2023-03-14T10:00:36Z,Tuesday,Spring,1432501,53101,974,0.03774866474787801
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,スターブラックゲイザー / ChroNoiR,MV,258,2022-08-22T10:30:12Z,Monday,Summer,3449531,72343,1559,0.02142378195760525
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,ブラッディ・グルービー / ChroNoiR,MV,128,2021-12-25T11:00:11Z,Saturday,Winter,28488933,277146,4292,0.009878853658717228
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,マグマグラグラ / ChroNoiR,MV,221,2021-11-06T11:00:11Z,Saturday,Fall,2434401,55703,1127,0.023344551698754643
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Geminids/ ChroNoiR,MV,271,2020-12-20T11:02:11Z,Sunday,Winter,10583337,126305,4551,0.012364342172983813
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,LET IT BURN / ChroNoiR feat.加賀美ハヤト,MV,255,2020-10-30T10:00:11Z,Friday,Fall,5579321,92536,1908,0.016927507845488726
