style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,キュートアグレッション / 叶 (cover),Cover,195,2025-05-25T15:00:06Z,Sunday,Spring,1793887,0,1878,0.0010468886836238849
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,叶「愛My距離感」Music Video【1/29発売 樋口楓、叶「Yummy Yummy」c/w曲】,MV,191,2025-01-29T10:01:04Z,Wednesday,Winter,249908,0,270,0.0010803975863117627
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,福音(Gospel) / 叶 (cover),Cover,194,2024-07-07T15:00:06Z,Sunday,Summer,939715,0,832,0.0008853748210893729
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,メメント - VACHSS Music Video,MV,221,2024-06-01T12:00:07Z,Saturday,Summer,2912670,0,1902,0.0006530090947481177
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,【歌ってみた】 Happy Halloween / Junky 【叶＆魔界ノりりむ/にじさんじ】,Cover,254,2023-10-31T11:00:10Z,Tuesday,Fall,1925899,0,846,0.00043927537217683794
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,叶 「minority」Music Video,MV,187,2023-09-16T09:00:01Z,Saturday,Fall,203066,0,156,0.0007682231392749156
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,叶 「How Much I Love You」Music Video,MV,242,2023-09-07T10:00:42Z,Thursday,Fall,239763,0,220,0.0009175727697768212
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,叶 「わたしのリンゴ」Music Video,MV,232,2023-08-30T10:00:56Z,Wednesday,Summer,328977,0,308,0.0009362356638913967
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,叶 「Midnight Showcase」Music Video,MV,240,2023-04-28T09:00:10Z,Friday,Spring,447364,0,299,0.0006683595461413972
vTubers,UCspv01oxUFf_MTSipURRhkA,1470000,【歌ってみた】 チューリングラブ ／ ナナヲアカリ 【叶＆星川サラ/にじさんじ】,Cover,223,2020-08-19T10:00:13Z,Wednesday,Summer,8465220,0,3252,0.00038416012814788036
