style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,LUVORATORRRRRY! / 歌ってみた ずしり（葛葉・椎名唯華・魔界ノりりむ）,Cover,204,2025-07-30T13:00:06Z,Wednesday,Summer,692885,46543,833,0.06837498286151382
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】Casino / 歌ってみた 葛葉【】,Cover,145,2025-03-08T14:45:06Z,Saturday,Spring,2193630,65319,1622,0.030516085210359086
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,さよーならまたいつか！　cover （3DLIVE ver.）by葛葉,Live,203,2024-10-27T13:35:37Z,Sunday,Fall,6919241,121463,2664,0.0179393953758801
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【MV】ONE SHOT/葛葉 feat.めいちゃん,MV,168,2024-08-05T11:00:07Z,Monday,Summer,1171953,40418,836,0.03520107035009083
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】歌ってみた　ファイトソング (Fight Song)　by葛葉【】,Cover,211,2024-05-31T12:00:06Z,Friday,Spring,6121590,89667,2110,0.014992346759583703
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,春を告げる / 葛葉【歌ってみた】,Cover,198,2024-03-09T09:20:08Z,Saturday,Spring,8908141,149188,2923,0.01707550430555601
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,GLAMOROUS SKY（cover）／葛葉,Cover,265,2023-12-15T13:15:01Z,Friday,Winter,4956422,87620,2623,0.018207287434362934
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】fake face dance music カバードバイ歌ってみた by 葛葉【】,Cover,151,2023-11-10T14:56:10Z,Friday,Fall,16127702,189887,3286,0.011977713873929466
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【MV】Black Crack/葛葉,MV,187,2023-10-12T15:00:42Z,Thursday,Fall,1367956,37032,754,0.027622233463649417
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】九龍レトロ 歌ってみた カバードバイ 葛葉【】,Cover,206,2023-09-29T11:00:08Z,Friday,Fall,4534570,75645,1659,0.01704770242823465
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】 カプリスキャスト 歌ってみた by 葛葉 【】,Cover,191,2022-11-11T13:00:09Z,Friday,Fall,10992444,135875,3405,0.012670521678345597
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【MV】Bad Bitter/葛葉,MV,218,2022-03-16T10:00:40Z,Wednesday,Spring,3660668,61940,1101,0.0172211738404029
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【MV】甘噛み/葛葉,MV,239,2022-02-25T13:00:11Z,Friday,Winter,4540419,103253,2891,0.02337757814862461
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】 ヴァンパイア／葛葉 歌ってみた 【】,Cover,181,2021-10-31T11:00:12Z,Sunday,Fall,19972365,343510,11593,0.017779717124136275
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【MV】葛葉 / コントレイル,MV,195,2021-09-28T13:00:13Z,Tuesday,Fall,2549276,77889,3141,0.031785495175885234
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】歌ってみた KING 葛葉 【】,Cover,135,2020-11-10T11:00:10Z,Tuesday,Fall,54726991,612154,28214,0.011701136647545633
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】歌ってみた  悪魔の踊り方 葛葉【】,Cover,235,2020-07-26T09:15:11Z,Sunday,Summer,14890220,199667,4431,0.013706849193631793
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,アスノヨゾラ哨戒班 ／ ド葛本社 cover,Cover,180,2019-11-07T14:45:10Z,Thursday,Fall,9812906,158646,4498,0.016625452236065444
vTubers,UCSFCh5NL4qXrAy9u-u2lX3g,2050000,【】歌ってみた 疑心暗鬼 葛葉 にじさん【】,Cover,174,2019-09-28T12:00:17Z,Saturday,Fall,20522758,230199,6508,0.011533878633661227
