style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【LIVE】6倍!! Rock 'n' Roll!! フェスティバル!!【#さんばか_5thライブ】,Live,310,2025-07-04T08:30:16Z,Friday,Summer,157227,8961,226,0.058431439892639304
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【6/25発売！】不破湊 1st LIVE “Cheers with you” ダイジェスト #不破湊_1stLIVE Blu-ray,Live,127,2025-06-20T09:30:21Z,Friday,Summer,221488,3544,62,0.0162807917358954
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】にじさんじ – Arc goes oN,MV,261,2025-02-26T11:30:07Z,Wednesday,Winter,1033559,58553,1131,0.05774609867457978
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Lazy × Crazy(Official Music Video) / EXゲーマーズ（叶、赤羽葉子、笹木咲、本間ひまわり、魔界ノりりむ、葛葉、椎名唯華）,MV,202,2025-02-22T15:00:06Z,Saturday,Winter,1742334,53284,751,0.0310129975079405
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】相性×優勝ドロップス - Idios,MV,190,2025-01-18T12:30:11Z,Saturday,Winter,1665407,44099,617,0.026849893149242198
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】樋口楓、叶 - Yummy Yummy（TVアニメ「日本へようこそエルフさん。」エンディング主題歌）,MV,224,2025-01-11T03:00:06Z,Saturday,Winter,192986,10133,152,0.05329402132797198
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】にじさんじ – ファミリア,MV,194,2024-12-19T08:00:07Z,Thursday,Winter,932114,42673,595,0.04641921481707173
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】にじさんじ – ヨナガオルケスタ,MV,213,2024-12-11T08:00:07Z,Wednesday,Winter,857446,35756,529,0.04231753369891515
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】にじさんじ – Budding!,MV,202,2024-11-27T03:00:06Z,Wednesday,Fall,653886,30634,479,0.04758168855121535
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】にじさんじ – Summer and Peace!,MV,243,2024-11-20T09:00:08Z,Wednesday,Fall,559661,27647,510,0.05031081315296224
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,三枝明那 1st Mini Album「UniVerse」XFD,Cover,180,2024-09-22T09:00:15Z,Sunday,Fall,73855,6922,367,0.09869338568817278
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ - ココドコ？多分ドッカ島！ [Offcial Music Video],MV,145,2024-06-04T13:00:07Z,Tuesday,Summer,269713,14623,374,0.055603548957595665
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,『Buddy＆Wilderness』Music Video（叶、葛葉、笹木咲、壱百満天原サロメ、星川サラ）,MV,228,2022-12-15T10:00:07Z,Thursday,Winter,11760520,185318,3224,0.01603177410522664
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,樋口楓「WIN-WIN HALLOWEEN」Music Video【2022/11/9発売『ビューティーMYジンセイ！』収録曲】,MV,231,2022-10-31T08:00:08Z,Monday,Fall,114314,7210,82,0.06378921216998792
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【#にじフェス2022】Virtual to LIVE【Anisong Time!】,Live,276,2022-10-05T12:00:37Z,Wednesday,Fall,437600,40108,890,0.09368829981718464
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,"▽▲TRiNITY▲▽「I know “The Unknown World""」Music Video【2022/10/5発売『Δ(DELTA)』収録曲】",MV,232,2022-10-04T10:00:12Z,Tuesday,Fall,778933,23457,245,0.030428804531326827
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【モイラ&樋口楓＆える】#にじフェス2022 オリジナルフードを試食！,MV,291,2022-10-01T00:15:00Z,Saturday,Fall,21611,900,12,0.042200731109157376
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ - Hurrah!! [Official Music Video],MV,256,2022-09-29T14:00:10Z,Thursday,Fall,5932129,131535,2417,0.02258076316277006
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【葉山舞鈴】#にじフェス2022 オリジナルフードを試食！,MV,266,2022-09-29T03:00:15Z,Thursday,Fall,43196,1788,106,0.043846652467821094
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【フレン・E・ルスタリオ＆戌亥とこ】#にじフェス2022 オリジナルフードを試食！,MV,270,2022-09-29T03:00:08Z,Thursday,Fall,65764,2831,53,0.04385378018368712
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【文野環＆物述有栖】#にじフェス2022 オリジナルフードを試食！,MV,378,2022-09-29T03:00:06Z,Thursday,Fall,41253,1856,35,0.045839090490388576
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【シスター・クレア＆ドーラ】#にじフェス2022 オリジナルフードを試食！,MV,331,2022-09-29T03:00:06Z,Thursday,Fall,35174,1623,36,0.04716551998635356
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,▽▲TRiNITY▲▽「Owlish」Music Video【2022/10/5発売『Δ(DELTA)』収録曲】,MV,209,2022-09-28T10:30:11Z,Wednesday,Fall,440525,10355,206,0.02397366778275921
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,▽▲TRiNITY▲▽『XOXO』Music Video【2022/10/5発売「Δ(DELTA)」収録曲】,MV,191,2022-09-01T13:30:13Z,Thursday,Fall,3227404,67058,802,0.0210261869911545
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,GODDESS-樋口楓、ジョー・力一[Live Video] from #いこわたLIVE,Live,269,2022-07-06T08:00:27Z,Wednesday,Summer,110160,5580,103,0.051588598402323896
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,DONBURA KONBURA SPEAKERS (Official Music Video) / Ranunculus(ラナンキュラス),MV,182,2022-03-20T10:00:13Z,Sunday,Spring,5696964,97156,1976,0.01740084718808123
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,▽▲TRiNITY▲▽『PRiSM』Music Video【2021/10/6発売「PRiSM」収録曲】,MV,209,2021-11-05T03:00:10Z,Friday,Fall,472604,14360,130,0.030659918240218027
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ - 1 ∞ color [original MV],MV,177,2021-10-28T10:59:02Z,Thursday,Fall,434069,25362,763,0.06018628374751479
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,▽▲TRiNITY▲▽『Night Spider』Music Video【2021/10/6発売「PRiSM」収録曲】,MV,198,2021-10-05T03:00:31Z,Tuesday,Fall,1635548,32950,348,0.02035892557112356
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,▽▲TRiNITY▲▽『Poppin’ up!!』Music Video【2021/10/6発売「PRiSM」収録曲】,MV,206,2021-09-27T09:00:14Z,Monday,Fall,183558,6683,111,0.03701282428442236
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ – Trial and Error (Official Lyric Video),Lyric,271,2021-09-25T03:00:13Z,Saturday,Fall,134917,7650,95,0.057405664223189073
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【「リフレインズ」Live Video】Rain Drops ファーストワンマンライブ『雨天決行』＜For J-LODlive＞,Live,348,2021-09-22T11:00:15Z,Wednesday,Fall,150717,8615,117,0.0579363973539813
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Rain Drops『エンターテイナー 』Music Video(9/22発売『バイオグラフィ』収録曲),MV,229,2021-08-27T11:00:01Z,Friday,Summer,3325436,47680,1084,0.014663941810938476
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Rain Drops『明日は日曜日』Music Video(9/22発売『バイオグラフィ 』収録曲),MV,228,2021-08-07T09:00:01Z,Saturday,Summer,1284347,21905,487,0.017434540665412075
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【MV】樋口楓「Baddest」ミュージックビデオ【8/25発売シングル「Baddest」収録】,MV,259,2021-07-10T10:00:11Z,Saturday,Summer,628116,11207,345,0.01839150730119914
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ - Virtual Strike (Official Lyric Video),Lyric,249,2021-05-28T03:00:12Z,Friday,Spring,1954202,26970,460,0.014036419981148315
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【にじさんじ/NIJISANJI】にじさんじ Anniversary Festival 2021 前夜祭 feat.FLOW ダイジェスト映像【for J-LOD LIVE】,Live,385,2021-04-01T10:00:18Z,Thursday,Spring,531313,22015,417,0.042219934388957166
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【にじさんじ/NIJISANJI】にじさんじ JAPAN TOUR 2020 Shout in the Rainbow！ 東京リベンジ公演 ダイジェスト映像【for J-LOD LIVE】,Live,399,2021-04-01T10:00:16Z,Thursday,Spring,147425,7383,273,0.0519314905884348
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ - 虹色のPuddle (Official Lyric Video),Lyric,284,2021-02-26T06:00:14Z,Friday,Winter,1512872,45822,804,0.030819527362526373
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ - Wonder NeverLand (Official Lyric Video),Cover,265,2021-02-24T15:00:15Z,Wednesday,Winter,1585726,58980,1438,0.03810115997341281
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,"【メイキング映像】女々しくて (covered by 卯月コウ, 剣持刀也, シェリン・バーガンディ)",Cover,251,2021-02-13T12:15:01Z,Saturday,Winter,2097131,87181,1502,0.04228777315294085
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,"女々しくて / covered by 卯月コウ, 剣持刀也, シェリン・バーガンディ",Cover,276,2021-02-13T12:00:15Z,Saturday,Winter,14636892,279450,9456,0.019738206717655634
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【にじさんじ/NIJISANJI】SMASH The PAINT!! Release Party 2020.09.22 at TOKYO DOME CITY HALL【for J-LOD LIVE】,Live,305,2020-12-10T10:46:06Z,Thursday,Winter,85561,3888,132,0.04698402309463424
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Rain Drops『雨言葉』Music Video(11/25発売『オントロジー』収録曲),MV,339,2020-11-25T09:59:59Z,Wednesday,Fall,2253824,30649,641,0.01388307161517492
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【Digest Video】Kyō to Aki no NIJISANJI ～Sugoi na kore wa! Kōyō shite kita～＜For JLODlive＞,Live,338,2020-11-01T04:00:05Z,Sunday,Fall,57309,2044,50,0.036538763544992935
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【Digest Video】Kyō to Aki no NIJISANJI ～Kyō wa Sumeshi～＜For JLODlive＞,Live,348,2020-11-01T04:00:04Z,Sunday,Fall,94723,4147,92,0.04475153869704296
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Hand in Hand／リゼ・ヘルエスタ【Cover】,Cover,311,2020-10-28T03:00:13Z,Wednesday,Fall,2274505,47618,907,0.021334312300918222
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Rain Drops『オントロジー』Music Video(11/25発売『オントロジー』収録曲),MV,340,2020-10-23T11:00:27Z,Friday,Fall,3622476,41710,965,0.011780616351909579
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,petit fleurs（森中花咲・御伽原江良）『プリンシパル』MV,MV,277,2020-09-15T10:00:13Z,Tuesday,Fall,425068,13036,469,0.03177138716628869
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Rain Drops – 『セルフィーDimension』Music Video(5/13(wed)発売『シナスタジア』収録曲),MV,200,2020-07-10T10:00:20Z,Friday,Summer,934264,11340,300,0.012459005163422758
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,月ノ美兎 『アンチグラビティ・ガール』 Music Video,MV,255,2020-05-20T10:00:12Z,Wednesday,Spring,1246105,38911,931,0.03197322858025608
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Rain Drops – 『蜜ノ味』Music Video(5/13(wed)発売『シナスタジア』収録曲),MV,183,2020-05-15T09:00:26Z,Friday,Spring,4316078,66588,1265,0.01572098557996403
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,petit fleurs（森中花咲・御伽原江良）『プリンセス・モード!』MV,MV,304,2020-04-25T14:00:10Z,Saturday,Spring,592347,16582,723,0.029214294999383807
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,Rain Drops『VOLTAGE』Music Video (5/13(wed)発売『シナスタジア』収録曲),MV,264,2020-04-10T09:00:01Z,Friday,Spring,4443651,69200,2520,0.016139881372321994
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,petit fleurs（森中花咲・御伽原江良）『ミラフル**』MV,MV,240,2020-03-23T11:00:12Z,Monday,Spring,652614,20636,1135,0.03335968888194246
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【3/18発売】にじさんじオリジナルフルアルバム「SMASH The PAINT!!」クロスフェードムービー,MV,333,2020-03-16T11:30:06Z,Monday,Spring,522027,15280,589,0.030398810789480236
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,にじさんじ - Virtual to LIVE [Official Music Video],Live,268,2019-08-20T10:00:12Z,Tuesday,Summer,17234301,307885,11530,0.01853367885358391
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,"樋口楓 / Kaede Higuchi 1st Live ""KANA-DERO""  Blu-ray ダイジェスト版",Live,182,2019-05-23T06:00:01Z,Thursday,Spring,70822,2097,59,0.0304425178616814
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【にじさんじjk組】dream triangle【オリジナル曲】,MV,390,2019-02-15T12:28:15Z,Friday,Winter,368167,14648,423,0.040935227763487764
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【にじさんじ】Bad ∞ End ∞ Night 歌ってみた【#お屋敷組】,Cover,254,2018-12-31T09:58:12Z,Monday,Winter,1348565,35342,463,0.026550444361228418
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【#にじさんじSEEDs1期生出身】Connecting【歌ってみた】,Cover,299,2018-08-26T11:28:11Z,Sunday,Summer,1571146,39451,1666,0.026170069490677506
vTubers,UCX7YkU9nEeaoZbkVLVajcMg,1810000,【にじさんじ】Mr.Music【歌ってみた！】,Cover,272,2018-07-05T12:00:01Z,Thursday,Summer,1126366,35301,2005,0.03312067303167887
