style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO – AGATTA (#ROFMAO_2ndライブ Special Edit Ver.),Live,204,2025-07-26T03:00:35Z,Saturday,Summer,257210,0,529,0.002056685198864741
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - AGATTA,MV,203,2025-06-26T13:30:06Z,Thursday,Summer,1431750,0,935,0.0006530469704906583
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,甲斐田晴 - 古傷マーモット,MV,124,2025-05-01T13:30:25Z,Thursday,Spring,280054,0,512,0.001828218843508752
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - 布袋尊,MV,250,2025-03-27T13:30:06Z,Thursday,Spring,6356208,0,1713,0.00026950030584272885
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - ガム,MV,214,2025-02-04T11:00:10Z,Tuesday,Winter,1647496,0,940,0.0005705628420342143
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - 情熱的ボーイ,MV,176,2024-10-03T13:30:27Z,Thursday,Fall,3985738,0,1802,0.0004521120053550936
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO – I wanna! You wanna! (#ROFMAO_1stライブ Special Edit Ver.),Live,234,2024-08-04T13:00:06Z,Sunday,Summer,1602759,0,554,0.00034565396294764216
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO – 感情BONDING (#ROFMAO_1stライブ Special Edit Ver.),Live,190,2024-08-03T13:00:06Z,Saturday,Summer,881119,0,449,0.0005095792963266029
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO – フルカウント (#ROFMAO_1stライブ Special Edit Ver.),Live,270,2024-08-02T13:00:06Z,Friday,Summer,679211,0,448,0.0006595888464703899
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - Bring it on,MV,200,2024-07-24T13:00:07Z,Wednesday,Summer,21243821,0,6085,0.0002864362300925055
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - DiVE !N,MV,213,2024-07-04T13:45:07Z,Thursday,Summer,1663063,0,1217,0.0007317822596017108
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO – Hands Up (#ROFMAO_1stライブ Special Edit Ver.),Live,217,2024-04-27T12:00:06Z,Saturday,Spring,5234086,0,1081,0.00020653080595160262
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO「I wanna! You wanna!」| YTFF Japan 2023,MV,416,2023-12-14T13:30:07Z,Thursday,Winter,589885,0,488,0.000827279893538571
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - フルカウント,MV,264,2023-10-12T13:30:10Z,Thursday,Fall,1380410,0,578,0.0004187161785266696
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - HANABI,MV,229,2023-09-21T13:30:07Z,Thursday,Fall,1480074,0,1109,0.0007492868599813252
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - Challengers,MV,247,2023-08-17T13:30:06Z,Thursday,Summer,2789738,0,1388,0.0004975377616105886
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - ウィーアーポップスター,MV,217,2023-04-27T13:30:10Z,Thursday,Spring,3332418,0,1389,0.0004168144572499608
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO – 一撃 ( #にじフェス2022_Day2 LIVE Special Edit Ver.),Live,255,2022-11-03T13:30:03Z,Thursday,Fall,5960433,0,2113,0.0003545044462373791
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,Follow Your Heart - 加賀美ハヤト&甲斐田晴 from ROF-MAO (Lyric Video),MV,168,2022-08-11T13:00:11Z,Thursday,Summer,1748476,0,567,0.00032428240364751934
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - I wanna! You wanna!,MV,232,2022-04-09T09:00:13Z,Saturday,Spring,18196806,0,3653,0.00020074951615135095
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,1st Mini Album『Crack Up!!!!』XFDムービー 4/13発売,MV,213,2022-04-01T13:00:12Z,Friday,Spring,490718,0,404,0.0008232834336625108
vTubers,UCwi4P78SVunSYAGrvC9aKcw,1220000,ROF-MAO - 前進宣言,MV,176,2022-01-27T15:00:12Z,Thursday,Winter,10446516,0,2867,0.00027444556634958486
