style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,少女レイ - みきとP / セフィナ COVER,Cover,293,2025-08-02T10:30:06Z,Saturday,Summer,12410,2356,73,0.19572925060435134
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,こちら、幸福安心委員会です。- うたたP / セフィナ COVER,Cover,275,2025-04-06T10:30:06Z,Sunday,Spring,18621,2169,70,0.12024058858278287
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【MV】 月明かり / セフィナ (Official),MV,229,2025-03-01T11:00:06Z,Saturday,Spring,24051,3534,168,0.15392291380815767
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,One More Time - TWICE / セフィナ COVER,Cover,182,2024-08-02T11:00:07Z,Friday,Summer,41131,3951,108,0.0986846903795191
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,花になって(Be a Flower) - 緑黄色社会 / セフィナ COVER,Cover,200,2024-04-30T10:30:06Z,Tuesday,Spring,155178,7355,172,0.048505587132196576
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,Overdose - なとり / セフィナ COVER,Cover,197,2024-01-03T11:00:10Z,Wednesday,Winter,44291,3707,78,0.08545754216432232
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,すずめ(Suzume) - RADWIMPS feat.十明 / セフィナ COVER,Cover,239,2023-11-22T11:00:11Z,Wednesday,Fall,27774,2428,87,0.09055231511485562
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🌊青い珊瑚礁 - 松田聖子🌊 / Covered by セフィナ【にじさんじ】,Cover,222,2023-08-06T14:15:11Z,Sunday,Summer,77026,4211,95,0.0559032015163711
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】✨忘れじの言の葉 - 安次嶺希和子✨ / Covered by セフィナ【にじさんじ】,Cover,238,2023-08-01T15:30:11Z,Tuesday,Summer,54928,3520,76,0.0654675211185552
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】👑『エンヴィーベイビー』×『KING』🃏 / Covered by 町田ちまxセフィナ【にじさんじ】,Cover,137,2023-07-29T11:00:08Z,Saturday,Summer,102119,6317,74,0.06258384825546666
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】💐flos - R Sound Design💐 / Covered by セフィナ【にじさんじ】,Cover,275,2023-02-18T10:00:10Z,Saturday,Winter,49412,3485,96,0.07247227394155266
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🏛️ギラギラ - Ado🏛️ / Covered by セフィナ【にじさんじ】,Cover,276,2023-01-21T09:00:09Z,Saturday,Winter,101435,5522,92,0.0553457879430177
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🔥ヒバナ - DECO*27🔥 / Covered by セフィナ【にじさんじ】,Cover,206,2022-12-23T10:30:08Z,Friday,Winter,53611,2959,63,0.056369028744101025
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🐺怪物(Monster)-YOASOBI🐺 / Covered by セフィナxペトラ グリン【にじさんじ】,Cover,209,2022-11-26T05:00:07Z,Saturday,Fall,141813,8444,118,0.06037528294303061
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】📢CH4NGE - Giga📢 / Covered by セフィナ【にじさんじ】,Cover,137,2022-11-02T11:00:10Z,Wednesday,Fall,190550,10477,192,0.05599055366045657
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🩸ヴィラン - てにをは🩸 / Covered by セフィナ【にじさんじ】,Cover,202,2022-09-01T12:00:12Z,Thursday,Fall,91119,5674,87,0.0632250134439579
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【#NIJIMelodyTime】 Virtual to LIVE 【にじさんじ国際歌リレー企画】,Live,272,2022-08-27T10:00:09Z,Saturday,Summer,7228588,189040,2913,0.026554701969457934
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🐉テルーの唄 - 手嶌葵(ゲド戦記 OST)🐉 / Covered by セフィナ【にじさんじ】,Cover,262,2022-08-02T11:00:14Z,Tuesday,Summer,116390,6779,167,0.05967866655210929
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,🖤OBSYDIA - Black Out🖤 (Korean ver.) / #56S COVER 【にじさんじ】,Cover,186,2022-05-21T10:00:13Z,Saturday,Spring,112881,8436,229,0.07676225405515542
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】☸️MIRA - Kanaria☸️ / Covered by セフィナ【にじさんじ】,Cover,137,2022-05-11T11:00:11Z,Wednesday,Spring,54433,3417,78,0.06420737420314883
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】 👆Giga - '劣等上等'(BRING IT ON)👆 #미안하다피나야 커버 【にじさんじ】,Cover,235,2022-04-30T15:30:12Z,Saturday,Spring,67172,3956,126,0.06076936818912642
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🍫魔法少女とチョコレゐト(Magical Girl and Chocolate) - PINOCCHIOP🍫 / Covered by セフィナ【にじさんじ】,Cover,188,2022-04-15T10:00:13Z,Friday,Spring,80144,3503,75,0.04464463964863246
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🐱フォニイ(phony) - ツミキ🐱 / Covered by セフィナ【にじさんじKR】,Cover,189,2022-01-26T10:00:14Z,Wednesday,Winter,213656,12640,271,0.060428913767926015
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🍒チェリボム(Cherry Bomb) - Silent Siren🍒 / Covered by セフィナ【にじさんじKR】,Cover,246,2021-12-31T10:00:14Z,Friday,Winter,81274,3763,90,0.04740753500504467
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】👼残酷な天使のテーゼ (The Cruel Angel's Thesis) - Evangelion OP👼 【にじさんじ/ Seffyna X Elira】,Cover,250,2021-12-16T03:00:13Z,Thursday,Winter,338182,16737,351,0.05052900509193275
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🚬神っぽいな(God-ish) - PINOCCHIOP🚬 / Covered by セフィナ【にじさんじKR】,Cover,209,2021-12-10T10:00:10Z,Friday,Winter,493018,20174,380,0.041690161413984884
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】👁I beg you - Aimer👁 / Covered by セフィナ【にじさんじKR】,Cover,271,2021-10-30T05:00:11Z,Saturday,Fall,34013,1888,60,0.05727221944550613
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🚂明け星(Akeboshi) - LiSA🚂 / Covered by セフィナ【にじさんじKR】,Cover,270,2021-10-24T11:00:12Z,Sunday,Fall,60507,2050,65,0.03495463334820764
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】💗ファンサ (Fansa) - Honeyworks💗 / Covered by セフィナ【にじさんじKR】,Cover,249,2021-09-27T11:00:14Z,Monday,Fall,48695,2484,102,0.05310606838484444
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🩹Official髭男dism - Cry Baby🩹 / Covered by セフィナ【にじさんじKR】,Cover,241,2021-08-23T12:00:12Z,Monday,Summer,38692,1821,70,0.0488731520727799
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】⭐星間飛行 (Seikan Hikou)⭐ / Covered by セフィナ【にじさんじKR】,Cover,234,2021-08-10T11:00:14Z,Tuesday,Summer,41823,1802,62,0.044568777945149796
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】💎LazuLight - Diamond City Lights (日本語 ver)💎 / Covered by セフィナ【にじさんじKR】,Cover,245,2021-08-02T10:00:11Z,Monday,Summer,271974,17179,248,0.06407597785082397
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】✨ライオン (Lion)✨/ Covered by セフィナxなれ,Cover,306,2021-07-24T10:00:10Z,Saturday,Summer,40742,1692,62,0.04305139659319621
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🩸ヴァンパイア(Vampire)🩸/ Covered by セフィナ【にじさんじKR】,Cover,184,2021-07-15T11:00:13Z,Thursday,Summer,118688,5147,132,0.044477959018603394
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🔮Re:Zero Season 2 OP 2 - Long Shot🔮/ Covered by セフィナ【にじさんじKR】,Cover,255,2021-07-05T09:30:15Z,Monday,Summer,32707,1237,42,0.039104778793530436
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🎡Pretender🎡/ Covered by セフィナ【にじさんじKR】,Cover,337,2021-06-22T11:00:09Z,Tuesday,Summer,30865,1341,54,0.045196824882553055
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🎸God knows...🎸/ Covered by セフィナ【にじさんじKR】,Cover,282,2021-06-16T11:00:14Z,Wednesday,Summer,46546,2006,61,0.044407682722468096
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🌇夜に駆ける(Yoru ni Kakeru)🌇 / Covered by セフィナ【にじさんじKR】,Cover,252,2021-06-03T12:30:11Z,Thursday,Summer,44578,2090,48,0.047960877562923415
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】🦉フクロウ(Fukurou)～フクロウが知らせる客が来たと～🦉 / Covered by セフィナ【にじさんじKR】,Cover,289,2021-05-24T11:00:17Z,Monday,Spring,48628,2209,50,0.04645471744673851
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】💃バラライカ(Balalaika)💃 / Covered by セフィナ【にじさんじKR】,Cover,220,2021-05-14T11:00:19Z,Friday,Spring,252523,7034,110,0.028290492351191774
vTubers,UCeGendL8CO5RkffB6IFwHow,211000,【歌ってみた】 👑KING👑 / Covered by セフィナ【にじさんじKR】,Cover,136,2021-05-07T10:00:18Z,Friday,Spring,70528,2813,87,0.04111842105263158
