style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【Performance Video】Checkmate #VOLTACTION,Live,188,2025-08-08T11:00:06Z,Friday,Summer,80027,12090,266,0.15439789071188473
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【MV】ネオンライトの海に沈む #VOLTACTION,MV,203,2025-08-01T12:10:06Z,Friday,Summer,210637,15497,487,0.07588410393235756
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【コラボMV】インレイド-#AndroidかこってMUSIC Special ver.- #VOLTACTION,MV,180,2025-07-28T11:00:08Z,Monday,Summer,116496,13446,381,0.11869077049855789
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【MV】Checkmate  #VOLTACTION,MV,182,2025-07-23T11:00:07Z,Wednesday,Summer,672458,28814,551,0.04366815473977557
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【MV】サマラヴァ！ #VOLTACTION,MV,185,2025-07-14T11:00:07Z,Monday,Summer,739173,22467,632,0.03124978861511446
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【Dance Practice】サマラヴァ！ #VOLTACTION,Dance,190,2025-07-13T13:25:01Z,Sunday,Summer,176224,12330,386,0.07215816233884148
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【グッズ紹介ソング】RELOAD!!!! - 3rd Anniversary ver. - #VOLTACTION  #ヴォルタ3周年,Cover,153,2025-07-13T13:20:00Z,Sunday,Summer,171365,10979,608,0.06761590756572229
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【cover】Magic  #VOLTACTION,Cover,263,2025-06-29T13:10:06Z,Sunday,Summer,666870,28933,853,0.0446653770599967
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【Dance Practice】Sanctuary #VOLTACTION,Dance,192,2025-05-30T11:00:14Z,Friday,Spring,250070,14076,488,0.05823969288599192
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【MV】Sanctuary  #VOLTACTION,MV,187,2025-05-29T13:10:06Z,Thursday,Spring,1681780,33306,650,0.02019051243325524
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【cover】栞  #VOLTACTION,Cover,269,2025-04-28T13:10:06Z,Monday,Spring,1770114,45245,1412,0.026358189359555372
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【Dance Practice】I can be the One #VOLTACTION,Dance,188,2025-04-06T11:00:12Z,Sunday,Spring,156653,8736,235,0.057266697733206515
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【Performance Video】I can be the One #VOLTACTION,Live,190,2025-04-05T11:00:06Z,Saturday,Spring,785955,19160,438,0.024935269830969966
vTubers,UCNRh9kkByBTYLo0IJupnAug,483000,【MV】I can be the One #VOLTACTION,MV,183,2025-04-04T11:00:06Z,Friday,Spring,1022084,29768,676,0.029786201525510623
