style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【歌ってみた】モノクロのキス covered by #VΔLZ,Cover,239,2025-05-31T12:30:06Z,Saturday,Spring,549047,22719,630,0.04252641394998971
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【歌ってみた】シュガーソングとビターステップ covered by #VΔLZ,Cover,254,2025-02-09T11:30:06Z,Sunday,Winter,1603200,44794,686,0.028368263473053892
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【オリジナル楽曲】 #VΔLZ - ムーンウォーカーズ（VΔLZ LIVE TOUR 2024『三華の樂』Special Edit Ver.）,Live,202,2024-12-10T10:00:46Z,Tuesday,Winter,90090,5378,110,0.06091686091686092
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【歌ってみた】オレンジ covered by #VΔLZ,Cover,232,2024-11-28T10:00:06Z,Thursday,Fall,990816,29190,587,0.03005300681458515
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【MV】#VΔLZ - Beyond the Frame,MV,219,2024-10-16T10:00:06Z,Wednesday,Fall,490649,14951,341,0.031166883046740135
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【歌ってみた】レゾンデイトル・カレイドスコウプ covered by VΔLZ,Cover,244,2024-07-29T11:00:06Z,Monday,Summer,367412,11011,180,0.030458994262571717
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【オリジナル楽曲】VΔLZ - 黎明の轍（『VΔLZ×DRAMATIC STARS COLLABORATION LIVE 〜劇的演舞〜』Special Edit Ver.）,Live,211,2024-07-21T10:15:02Z,Sunday,Summer,145737,8598,177,0.060211202371395045
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【MV】#VΔLZ - SOUP,MV,219,2024-06-19T11:00:07Z,Wednesday,Summer,1517969,25804,581,0.017381777888744763
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【MV】#VΔLZ - ブリキの魂,MV,230,2024-06-07T11:00:07Z,Friday,Summer,786328,17704,349,0.022958612690887264
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【MV】#VΔLZ - 青春応歌,MV,231,2024-05-24T11:00:06Z,Friday,Spring,437473,11775,262,0.027514840915896524
vTubers,UCh-GyPNxvjTsza0ptjnkh1w,201000,【歌ってみた】エル・タンゴ・エゴイスタ covered by VΔLZ(弦月藤士郎/長尾景),Cover,201,2024-05-03T11:00:07Z,Friday,Spring,1129857,22814,400,0.02054596289618952
