style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【LIVE】愛して愛して愛して / 不破湊 Cover,Cover,267,2025-06-17T10:30:06Z,Tuesday,Summer,526975,31620,798,0.06151714976991318
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【LIVE】一旦ステイ TONIGHT / 不破湊,Live,272,2025-06-13T11:00:58Z,Friday,Summer,860098,39574,823,0.04696790365749019
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】ディストーションと抱擁 / 不破湊,MV,195,2025-04-18T11:00:08Z,Friday,Spring,2662554,50072,1419,0.01933895049640308
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】シャンパンナイトフィーバー / 不破湊,MV,193,2024-12-08T13:00:06Z,Sunday,Winter,747050,28063,563,0.03831872029984606
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】一旦ステイ TONIGHT / 不破湊,MV,199,2024-11-30T10:00:06Z,Saturday,Fall,17824750,231733,6478,0.01336405840194112
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【LIVE】バレリーコ / 不破湊 Cover,Cover,256,2024-11-29T09:00:22Z,Friday,Fall,331697,20476,601,0.06354293225443704
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】Violet!? / 不破湊,MV,177,2024-09-03T10:30:07Z,Tuesday,Fall,6063045,65887,1624,0.011134834064401633
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】エンデバー / 不破湊,MV,190,2024-07-10T11:00:07Z,Wednesday,Summer,2182619,43849,1418,0.02073976264295326
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,いのちの食べ方 / 不破湊 Cover,Cover,226,2024-05-29T12:00:10Z,Wednesday,Spring,1429065,42974,1174,0.03089292649389636
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,鬼ノ宴 / 不破湊 Cover,Cover,176,2024-04-20T12:00:07Z,Saturday,Spring,3802190,68377,1226,0.01830602889387432
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,ビターチョコデコレーション / 不破湊 Cover,Cover,199,2024-02-14T13:30:10Z,Wednesday,Winter,4848776,83687,1989,0.017669613939682922
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,ヴィラン / 不破湊 Cover,Cover,206,2023-12-01T12:00:09Z,Friday,Winter,2941806,68144,1630,0.02371808338143304
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【LIVE】イケナイ太陽 / VACHSS Cover,Cover,240,2023-05-03T12:00:45Z,Wednesday,Spring,12881384,197528,2931,0.015561914775617278
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,サリシノハラ / 不破湊 Cover,Cover,270,2023-04-19T11:00:07Z,Wednesday,Spring,3421015,57500,1302,0.01718846599620288
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,DOGLAND / VACHSS Cover,Cover,182,2023-04-18T13:30:06Z,Tuesday,Spring,42495995,381861,8432,0.009184230184515035
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】ミラージュ / 不破湊,MV,133,2023-02-14T10:15:08Z,Tuesday,Winter,3075751,69000,2286,0.023176778614393687
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,いーあるふぁんくらぶ / 不破湊×天月 Cover,Cover,239,2022-08-27T11:00:10Z,Saturday,Summer,1584289,52177,683,0.033365124671066955
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】midnight love / 不破湊,MV,190,2022-04-18T14:00:16Z,Monday,Spring,2132897,54199,1368,0.026052359771709558
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,トンデモワンダーズ / 不破湊×ましろ Cover,Cover,194,2022-03-05T11:00:12Z,Saturday,Spring,2124918,72215,908,0.03441215143360826
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,なにやってもうまくいかない / 不破湊 Cover,Cover,147,2022-01-29T11:00:12Z,Saturday,Winter,6429787,105059,1579,0.016584997294622667
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,ねむるまち / 不破湊 Cover,Cover,198,2021-09-30T11:00:24Z,Thursday,Fall,2816681,54184,1308,0.01970120152051297
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,シル・ヴ・プレジデント / 不破湊 Cover,Cover,194,2021-09-05T11:00:13Z,Sunday,Fall,6227341,121356,2732,0.019926321683684897
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【LIVE】１・２・３ / 不破湊×三枝明那 Cover,Cover,301,2021-06-12T14:00:21Z,Saturday,Summer,5676606,93519,1203,0.01668637914979479
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,【MV】ラストソング / 不破湊,MV,241,2021-04-18T11:00:16Z,Sunday,Spring,4824611,95001,2502,0.0202095049735616
vTubers,UC6wvdADTJ88OfIbJYIpAaDA,1130000,ロキ / 不破湊×ましろ Cover,Cover,230,2021-03-15T11:00:16Z,Monday,Spring,5705474,109901,2458,0.019693192888093083
