style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,加賀美ハヤト – ARE YOU READY? FIGHT! （アニメ「最強王図鑑～The Ultimate Tournament～」エンディングテーマ),MV,220,2025-06-14T09:00:06Z,Saturday,Summer,228324,13464,362,0.06055430002978224
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,ダーリン / 須田景凪【加賀美ハヤト Cover】,Cover,149,2025-05-26T10:00:07Z,Monday,Spring,3256654,103731,3937,0.03306092695140472
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【オリジナルMV】鐘が鳴る場所で【にじさんじ/ #SitR仙台】,MV,263,2025-05-10T14:00:06Z,Saturday,Spring,212080,15208,383,0.07351471142964919
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【MV】加賀美ハヤト - LYCANTHROPE【にじさんじ】,MV,225,2024-10-31T13:30:06Z,Thursday,Fall,726706,26851,978,0.038294716157565786
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,Overdose / なとり【加賀美ハヤト / 不破湊 Cover】,Cover,192,2024-07-19T11:00:08Z,Friday,Summer,2459706,69323,1654,0.028855887654866068
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,「ヤバみ」 covered by SMC組【にじさんじ/加賀美ハヤト/夜見れな/葉加瀬冬雪】,Cover,213,2024-07-03T09:00:06Z,Wednesday,Summer,3033805,51569,883,0.017289179759411036
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,ぼくらの / Eve【加賀美ハヤト Cover】,Cover,217,2024-05-27T12:00:08Z,Monday,Spring,1490439,39875,863,0.02733288648512284
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,革命デュアリズム covered by リゼ・ヘルエスタ×加賀美ハヤト【にじさんじ】,Cover,243,2024-05-03T09:00:08Z,Friday,Spring,9609441,135165,2035,0.014277625514324923
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,加賀美ハヤト - 篝火【full】,MV,322,2024-01-14T11:00:10Z,Sunday,Winter,661554,16385,437,0.025428007388663663
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,Rebel / NIGHTMARE【加賀美ハヤト Cover】,Cover,198,2023-11-30T12:00:10Z,Thursday,Fall,556869,17979,321,0.03286230693394676
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【マル秘ネーム公開】「刃牙」シリーズ最新作「刃牙らへん」第1話のネームを読ませて頂きましたッッ‼︎‼︎【にじさんじ/加賀美ハヤト】,MV,406,2023-08-24T09:00:09Z,Thursday,Summer,35416,2714,49,0.07801558617573978
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,少女レイ / みきとP【加賀美ハヤト Cover】,Cover,290,2023-08-19T13:00:11Z,Saturday,Summer,8499583,133336,3773,0.016131261968969537
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,ハミングバード / Novelbright【加賀美ハヤト Cover】,Cover,289,2023-07-07T13:00:09Z,Friday,Summer,2133155,32387,962,0.015633650625481974
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,T.Y.R.A.N.T / NOCTURNAL BLOODLUST【加賀美ハヤト × Ike Eveland × Finana Ryugu Cover】,Cover,267,2023-04-02T13:30:08Z,Sunday,Spring,3325493,102169,1683,0.03122905385757841
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【Lyric Video】加賀美ハヤト ‐ 22【にじさんじ】,Lyric,242,2023-02-18T14:00:08Z,Saturday,Winter,245022,10422,243,0.043526703724563506
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【MV】Thank you for the encounter【にじさんじ/SMC組】,MV,263,2022-12-25T12:00:08Z,Sunday,Winter,1473868,45913,1075,0.03188073830220888
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,20201202 お蔵入り,MV,230,2021-07-03T14:00:13Z,Saturday,Summer,284981,22129,458,0.0792579154399767
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【MV】加賀美ハヤト - PIERCE【にじさんじ】,MV,230,2021-06-29T11:00:11Z,Tuesday,Summer,1320788,30463,586,0.023507936171437052
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【MV】加賀美ハヤト feat. buzzG ‐ トレモロムーン【にじさんじ】,MV,257,2021-06-11T10:30:12Z,Friday,Summer,1030083,28666,561,0.028373441751781168
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【MV】加賀美ハヤト - WITHIN【にじさんじ】,MV,262,2020-05-09T11:45:12Z,Saturday,Spring,4682079,90439,2265,0.01979975134977432
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,【歌ってみた】シュガーソングとビターステップ【にじさんじ/加賀美ハヤト/葉加瀬冬雪/夜見れな】,Cover,261,2020-02-23T11:00:12Z,Sunday,Winter,16843959,191649,4771,0.011661154007795911
vTubers,UCmovZ2th3Sqpd00F5RdeigQ,889000,IMITATION BLACK / le jouet (Cover),Cover,224,2019-11-18T11:45:12Z,Monday,Fall,1194729,21361,501,0.018298710418848122
