style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,夢芝居 / 梅沢富美男(Covered by 四季凪アキラ),Cover,226,2025-07-16T10:00:06Z,Wednesday,Summer,71612,7596,400,0.11165726414567391
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,Bunny Girl / 渡会雲雀＆四季凪アキラ (Cover),Cover,221,2025-03-02T10:00:06Z,Sunday,Spring,3930824,99416,2944,0.026040341668820584
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,就寝御礼 / 四季凪アキラ(Cover),Cover,273,2024-12-12T14:35:06Z,Thursday,Winter,461118,16727,563,0.037495825363572884
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,灰色と青 / covered by 四季凪アキラ＆セラフ・ダズルガーデン,Cover,317,2024-09-14T10:00:07Z,Saturday,Fall,724298,25087,401,0.0351899356342279
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,フライデー・ナイト / 四季凪アキラ(Cover),Cover,179,2024-05-03T12:00:07Z,Friday,Spring,368510,13783,404,0.038498276844590375
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,【歌ってみた】吉原ラメント / 四季凪アキラ,Cover,227,2024-04-01T13:30:07Z,Monday,Spring,1176199,40381,947,0.03513691135598653
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,オトナブルー / Covered by 四季凪アキラ・狂蘭メロコ,Cover,187,2024-01-03T10:00:08Z,Wednesday,Winter,2063235,66269,821,0.03251689700882352
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,アンドロメダアンドロメダ / 四季凪アキラ(Cover) #あの8人でナユタンメドレー,Cover,183,2023-11-05T11:00:07Z,Sunday,Fall,573516,19766,279,0.03495107372767281
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,おやすみ泣き声、さよなら歌姫 / 四季凪アキラ（Cover）,Cover,242,2023-06-02T10:00:08Z,Friday,Summer,560404,17915,229,0.03237664256500667
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,Overdose / 四季凪アキラ(Cover),Cover,197,2022-12-13T12:00:08Z,Tuesday,Winter,1452400,54840,922,0.03839300468190581
vTubers,UCcDDxnoQcezyTUzHg5uHaKg,435000,爆笑 / 四季凪アキラ(Cover),Cover,206,2022-09-26T11:00:12Z,Monday,Fall,1052089,46512,699,0.04487358008685577
