style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,【歌ってみた】救いたかったのは / Δ【弦月藤士郎/にじさんじ】,Cover,234,2025-07-30T14:00:26Z,Wednesday,Summer,29659,3954,278,0.14268855996493476
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,『Peek a boo (Original MV)』弦月藤士郎 feat. Kotoka Torahime,MV,201,2025-06-26T11:00:06Z,Thursday,Summer,101535,15192,214,0.15173093022110604
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,非公式にじさんじテーマソング「live or life」 - 弦月藤士郎 feat.Mai,Live,300,2024-11-10T14:08:47Z,Sunday,Fall,90498,8865,117,0.0992508121726447
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,こじらせハラスメント「我愛NEEDｰU」Music Video,MV,253,2024-10-20T10:30:06Z,Sunday,Fall,148466,9176,86,0.06238465372543209
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,【歌ってみた】ドナーソング／れるりり×もじゃ【にじさんじ/弦月藤士郎】,Cover,254,2024-08-08T14:59:00Z,Thursday,Summer,139737,9536,227,0.0698669643687785
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,アウターサイエンス / じん (Covered by 弦月藤士郎),Cover,217,2023-08-24T11:00:08Z,Thursday,Summer,869817,29583,269,0.034319862683759916
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,トウキョウ・シャンディ・ランデヴ / ツミキ (Covered by 弦月藤士郎 ・ フレン･E･ルスタリオ),Cover,186,2023-08-18T13:00:09Z,Friday,Summer,1051227,34899,298,0.03348182647515713
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,バッドエンドの映画は嫌いなんだ / *Luna (Covered by 雪月シスターズ),Cover,248,2023-08-09T11:30:06Z,Wednesday,Summer,197834,10673,103,0.05446990911572328
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,こじらせハラスメント「秘密のショコラ」Music Video,MV,251,2023-02-14T11:00:11Z,Tuesday,Winter,281880,16289,251,0.05867745139775791
vTubers,UCGw7lrT-rVZCWHfdG9Frcgg,373000,【歌ってみた】永遠のあくる日 / Ado feat.てにをは【弦月藤士郎/にじさんじ】,Cover,249,2022-12-31T13:00:07Z,Saturday,Winter,608733,22805,380,0.03808730592887193
