style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,花占い／covered by 戌亥とこ、榊ネス,Cover,209,2025-07-17T10:10:06Z,Thursday,Summer,627841,26685,403,0.043144681535611726
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,アイ／covered by 戌亥とこ,Cover,336,2025-05-16T11:00:06Z,Friday,Spring,624489,15987,227,0.025963627862140085
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,お願いマッスル／covered by Nornis（戌亥とこ、町田ちま）,Cover,219,2025-04-01T03:00:06Z,Tuesday,Spring,1625688,62927,2264,0.04010056050115397
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,東京流星群／covered by 戌亥とこ,Cover,244,2025-03-23T13:00:06Z,Sunday,Spring,472249,15704,235,0.03375126257546337
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,旅路／covered by 戌亥とこ,Cover,282,2025-03-15T11:00:06Z,Saturday,Spring,457419,12460,163,0.027596142705047233
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,トレモロ降る夜／covered by 戌亥とこ,Cover,244,2025-02-27T12:00:06Z,Thursday,Winter,371259,11684,266,0.03218777187893088
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】ハートにドン／戌亥とこ,MV,232,2025-01-25T11:00:06Z,Saturday,Winter,604015,17915,348,0.03023600407274654
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,Hello／covered by 戌亥とこ,Cover,340,2024-12-10T12:00:06Z,Tuesday,Winter,555882,15279,252,0.027939382818655756
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,ハレンチ／covered by 戌亥とこ,Cover,203,2024-11-29T11:00:06Z,Friday,Fall,2653342,49246,484,0.018742401092659747
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,Ever／covered by 戌亥とこ、渡会雲雀,Cover,250,2024-10-22T11:00:06Z,Tuesday,Fall,1777114,33465,545,0.019137770565084738
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,晴る／covered by 戌亥とこ,Cover,276,2024-10-15T11:00:06Z,Tuesday,Fall,3279485,64837,780,0.020008324477776236
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,らしさ／covered by 戌亥とこ,Cover,267,2024-09-09T13:05:07Z,Monday,Fall,1551114,38008,746,0.02498462395413877
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,ダーリン／covered by 戌亥とこ,Cover,147,2024-07-29T11:00:07Z,Monday,Summer,4119285,70077,754,0.01719497437055217
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】傾奇浄瑠璃  / 戌亥とこ 【DYES IWASAKI(FAKE TYPE.)】,MV,187,2024-05-31T11:00:06Z,Friday,Spring,722283,22069,215,0.030852172901757343
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,絶え間なく藍色／covered by 戌亥とこ,Cover,221,2023-12-06T11:00:11Z,Wednesday,Winter,2833781,42887,466,0.015298641638150584
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】Twilight Road／戌亥とこ,MV,200,2023-11-22T11:00:09Z,Wednesday,Fall,628306,16211,154,0.02604622588356629
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】六道伍感さんぽ／戌亥とこ,MV,257,2023-11-03T11:00:10Z,Friday,Fall,1264176,25457,321,0.020391148067990535
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,ワールド・ランプシェード／covered by 戌亥とこ、渡会雲雀,Cover,300,2023-10-15T11:00:11Z,Sunday,Fall,3732525,53159,744,0.01444143039899264
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,RUMOR／covered by 戌亥とこ,Cover,174,2023-09-25T11:00:08Z,Monday,Fall,2431714,37617,376,0.01562395906755482
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】テレスコープ／戌亥とこ,MV,296,2023-09-10T11:00:09Z,Sunday,Fall,1464867,34542,543,0.02395097985004782
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,アヤノの幸福理論／covered by 戌亥とこ,Cover,334,2023-08-21T11:00:08Z,Monday,Summer,2950646,60129,744,0.020630397546842285
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,青春コンプレックス／covered by 戌亥とこ,Cover,204,2023-08-10T11:00:11Z,Thursday,Summer,4770285,66322,610,0.014031027496260706
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,ノマド／covered by 戌亥とこ,Cover,231,2023-07-07T11:00:10Z,Friday,Summer,3642107,60124,559,0.016661509395522977
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,踊り子／Coverd by 朝日南アカネ&町田ちま&戌亥とこ,Cover,230,2023-06-06T11:00:33Z,Tuesday,Summer,2653753,51198,735,0.019569643444585838
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,ヨセアツメ／covered by 戌亥とこ,Cover,198,2022-09-09T11:00:09Z,Friday,Fall,2028374,28041,365,0.014004320702197919
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,MIRA／covered by 戌亥とこ,Cover,138,2022-07-15T10:00:13Z,Friday,Summer,2212299,49406,509,0.022562501723320402
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,偏食／covered by 戌亥とこ,Cover,231,2022-02-23T10:00:56Z,Wednesday,Winter,2566046,47053,577,0.018561631397098884
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,フォニイ／covered by 戌亥とこ,Cover,189,2021-12-08T10:00:11Z,Wednesday,Winter,12447483,173051,2137,0.014074170657634158
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】初恋／戌亥とこ,MV,265,2021-10-19T09:00:11Z,Tuesday,Fall,2169319,51978,1044,0.024441771818713615
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,キュートなカノジョ／covered by 戌亥とこ,Cover,132,2021-10-17T10:00:12Z,Sunday,Fall,10407180,126760,1141,0.012289688465078916
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】Engaged Stories／戌亥とこ,MV,218,2021-09-09T10:00:13Z,Thursday,Fall,950465,28845,631,0.031012188770759577
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,Switch「イースター・カーニバル」/ 戌亥とこ × 星街すいせい(Cover),Cover,231,2021-06-30T09:00:10Z,Wednesday,Summer,1101420,24833,252,0.022775144813059506
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,カタオモイ／Aimer covered by 戌亥とこ,Cover,209,2021-03-23T12:00:17Z,Tuesday,Spring,6598224,103683,1677,0.015967933189294573
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,インフルエンサー／乃木坂46 covered by リゼ・ヘルエスタ × 戌亥とこ,Cover,271,2021-03-03T10:00:14Z,Wednesday,Spring,5493813,68500,909,0.01263403031737702
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,fine「Holy Angel's Carol」/ 戌亥とこ × 星街すいせい(Cover),Cover,225,2020-12-25T11:00:11Z,Friday,Winter,1859158,41530,471,0.022591409659641622
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【MV】地獄屋八丁荒らし／戌亥とこ,MV,234,2020-11-27T12:00:11Z,Friday,Fall,8651561,120376,1814,0.014123462806307439
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,靴の花火／ヨルシカ covered by 戌亥とこ,Cover,305,2020-09-09T09:00:12Z,Wednesday,Fall,2728299,34776,648,0.012983914153104186
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,さようなら、花泥棒さん／covered by 戌亥とこ,Cover,270,2020-06-22T13:00:12Z,Monday,Summer,4941773,66628,1077,0.013700548365940726
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,【歌ってみた】一度だけの恋なら【とこ尊楓リゼるる】,Cover,253,2020-05-03T11:00:12Z,Sunday,Spring,10062690,127112,1946,0.012825397582554963
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,ノーチラス／ヨルシカ　covered by 戌亥とこ,Cover,242,2020-03-20T15:00:11Z,Friday,Spring,2064335,30285,430,0.014878883514545846
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,雨とカプチーノ／ヨルシカ　covered by 戌亥とこ,Cover,272,2020-01-31T14:30:10Z,Friday,Winter,5240802,73322,1196,0.014218816127760598
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,Disney Medley｜covered by 戌亥とこ,Cover,419,2019-09-09T11:00:13Z,Monday,Fall,1853438,37095,838,0.02046629021310667
vTubers,UCXRlIK3Cw_TJIQC5kSJJQMg,918000,RE:I AM／Aimer covered by 戌亥とこ,Cover,359,2019-04-29T10:28:49Z,Monday,Spring,17521182,188830,4408,0.011028822142250448
