style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】インソムニア/星導ショウ,Cover,206,2025-04-04T13:05:07Z,Friday,Spring,1563836,47456,1444,0.03126926352891224
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】ギラギラ/星導ショウ,Cover,277,2025-02-11T11:50:06Z,Tuesday,Winter,3115607,81166,2185,0.026752732292615853
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】Sleepwalk/星導ショウ,Cover,148,2024-11-09T12:00:06Z,Saturday,Fall,3583130,54453,1517,0.015620421251810568
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】Dec./星導ショウ,Cover,134,2024-07-27T12:00:07Z,Saturday,Summer,6441240,72595,1519,0.011506169619514254
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】きらり/星導ショウ,Cover,232,2024-04-26T12:00:06Z,Friday,Spring,9468604,99570,2086,0.01073611273636536
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】恋の魔法/星導ショウ,Cover,201,2024-02-14T12:00:08Z,Wednesday,Winter,6894034,72424,1732,0.010756546892574072
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】人間みたいね/星導ショウ,Cover,242,2023-11-22T12:00:07Z,Wednesday,Fall,12965530,116320,1858,0.009114783583856579
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】パーペキヒーロー/MECHATU-A,Cover,218,2023-09-30T09:00:10Z,Saturday,Fall,25673075,187740,5079,0.007510553371577032
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】銃の部品/宇佐美リト × 星導ショウ,Cover,157,2023-09-03T12:00:10Z,Sunday,Fall,17310036,131333,2251,0.007717141662790303
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】少年少女カメレオンシンプトム/星導ショウ,Cover,212,2023-06-07T12:00:09Z,Wednesday,Summer,5524411,61795,1048,0.01137551134410528
vTubers,UCgZ0pH7j6c9z-pkOG3PYw1Q,370000,【歌ってみた】サルバドール / 星導ショウ,Cover,145,2023-04-29T12:00:08Z,Saturday,Spring,8942150,81671,1304,0.009279088362418433
