style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,声の旅 / 甲斐田晴【オリジナル曲】,MV,229,2025-06-13T11:00:06Z,Friday,Summer,148856,9938,315,0.06887864782071264
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,始まりの理由を / 甲斐田晴【オリジナル曲】,MV,185,2025-04-09T11:30:06Z,Wednesday,Spring,236066,10137,352,0.04443248921911669
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,シザーハンズ / 甲斐田晴 (cover) 【歌ってみた】,Cover,275,2024-12-13T11:30:06Z,Friday,Winter,386885,16416,466,0.0436357057006604
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,水の記憶 / 甲斐田晴【オリジナル曲】,MV,288,2024-10-25T13:30:06Z,Friday,Fall,555401,18811,656,0.035050351007650325
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【アニメーションMV】才能が無いから何だ / 甲斐田晴【オリジナル曲】,MV,187,2024-08-28T11:00:07Z,Wednesday,Summer,797577,34630,1222,0.04495114578278962
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【アニメーションMV】何色 / 甲斐田晴【オリジナル曲】,MV,323,2023-07-29T11:00:07Z,Saturday,Summer,1182687,35254,823,0.03050426697849896
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【オリジナルMV】Shiny Sunny Step  / 甲斐田晴【オリジナル曲】,MV,305,2022-12-14T11:00:09Z,Wednesday,Winter,605114,18702,410,0.03158413125460657
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【オリジナルMV】UNSEEN TREASURES / 甲斐田晴【オリジナル曲】,MV,277,2022-11-08T11:00:08Z,Tuesday,Fall,535187,19210,386,0.03661523915939662
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【オリジナルMV】パパンパ！Blue Summer Days / 甲斐田晴【オリジナル曲】,MV,249,2022-10-19T11:00:10Z,Wednesday,Fall,453259,21038,414,0.04732834869246943
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,神或アルゴリズム / 葉加瀬冬雪 × 甲斐田晴 (cover) 【歌ってみた】,Cover,223,2022-08-14T13:00:13Z,Sunday,Summer,947955,27428,432,0.029389580729043047
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,DONBURA KONBURA SPEAKERS (Cover) / VΔLZ(ヴァルツ),Cover,182,2022-06-24T13:15:13Z,Friday,Summer,4679606,87810,1384,0.019060151645245348
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【3Dライブ】「敗北の少年」 / 甲斐田晴 × 三枝明那【Cover】,Cover,229,2022-06-18T12:00:14Z,Saturday,Summer,1553092,41846,246,0.02710206478431413
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【アニメーションMV】透明な心臓が泣いていた / 甲斐田晴【オリジナル曲】,MV,187,2022-05-06T13:05:16Z,Friday,Spring,5226273,126361,2555,0.024666908904299487
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,ハロ／ハワユ / Covered by 甲斐田晴【毎日ワンコーラス投稿：２４日目】,Cover,141,2022-04-27T11:00:24Z,Wednesday,Spring,553642,19850,369,0.036519989451667324
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,『チルドレンレコード(Re:boot)』 / 甲斐田晴（Cover）,Cover,187,2021-08-15T08:30:11Z,Sunday,Summer,833748,28578,464,0.03483306706582805
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,flos / 甲斐田晴 (cover) 【歌ってみた】,Cover,276,2021-07-09T11:00:12Z,Friday,Summer,2148831,58072,1076,0.02752566395402896
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,プラネタリウムの真実  / 夏代孝明 (covered by 甲斐田晴),Cover,274,2021-06-06T11:00:12Z,Sunday,Summer,1083222,18712,316,0.017566112948222988
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,砂の惑星 / ハチ (covered by 甲斐田晴),Cover,239,2021-05-23T11:00:17Z,Sunday,Spring,1758491,36845,586,0.021285863845763215
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,ヴァンパイア / DECO*27 (covered by 甲斐田晴)【歌ってみた】,Cover,179,2021-05-15T11:00:17Z,Saturday,Spring,3141312,79825,1347,0.025840158507018724
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【歌ってみた】エンヴィキャットウォーク【甲斐田晴/にじさんじ】,Cover,226,2021-04-02T12:00:16Z,Friday,Spring,2652680,53777,864,0.02059841367975029
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,Ghost of a smile / EGOIST (cover) by 甲斐田晴【歌ってみた】,Cover,324,2021-03-12T11:00:15Z,Friday,Spring,2162152,41402,935,0.019580954530486295
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,ニア / 甲斐田晴 (cover) 【歌ってみた】,Cover,245,2021-02-07T11:45:12Z,Sunday,Winter,13376935,166888,3553,0.01274140899989422
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,KING-Kanaria / 甲斐田晴(Cover)【歌ってみた】,Cover,135,2021-01-20T11:00:14Z,Wednesday,Winter,1708638,50586,1127,0.030265626774073854
vTubers,UCo2N7C-Z91waaR6lF3LL_jw,691000,【歌ってみた】幽霊東京【甲斐田晴/にじさんじ】,Cover,210,2020-10-25T11:00:14Z,Sunday,Fall,6387080,93863,932,0.01484168039229194
