style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ずうっといっしょ！ - キタニタツヤ / 町田ちま(Cover),Cover,184,2025-08-05T11:00:07Z,Tuesday,Summer,360067,24538,529,0.06961759894686266
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ミスルトウ～転生の宿り木～ / 町田ちま × 長尾景(Cover),Cover,321,2025-07-31T11:15:06Z,Thursday,Summer,197645,13611,397,0.07087454780034912
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ぼかろころしあむ - DIVELA / 町田ちま(Cover),Cover,157,2025-06-22T11:30:06Z,Sunday,Summer,692769,25307,291,0.03695026769384889
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,Budding! - にじさんじ / Nornis(戌亥とこ&町田ちま)〖Cover〗,Cover,202,2025-05-22T11:00:06Z,Thursday,Spring,277079,12037,135,0.04392970957741294
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,モニタリング - DECO*27 / 町田ちま(Cover),Cover,180,2025-05-03T12:00:06Z,Saturday,Spring,1142772,36302,402,0.03211839282026511
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ノンブレス・オブリージュ - ピノキオピー / 町田ちま(Cover),Cover,213,2025-04-15T11:00:06Z,Tuesday,Spring,2971933,73925,1316,0.02531719254774586
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,Ｗ●ＲＫ / 町田ちま × ジョー・力一(Cover),Cover,204,2025-03-20T13:00:06Z,Thursday,Spring,1173615,40489,394,0.03483510350498247
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,【MV】くんくん - 町田ちま（Original Ver.）,MV,171,2025-03-02T11:00:06Z,Sunday,Spring,72916,5592,60,0.07751385155521422
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,サイバーパンクデッドボーイ - マイキP / 町田ちま(Cover),Cover,225,2025-02-23T11:00:06Z,Sunday,Winter,850169,24713,359,0.029490607161634923
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,あなたの夜が明けるまで - 傘村トータ / 町田ちま(Cover),Cover,278,2025-01-26T10:00:06Z,Sunday,Winter,2163673,45541,663,0.02135442832627666
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ザムザ - てにをは / Nornis(戌亥とこ&町田ちま)〖Cover〗,Cover,213,2024-10-31T10:00:06Z,Thursday,Fall,3463709,55020,427,0.01600798450447194
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,少女レイ - みきとP / 町田ちま(Cover),Cover,293,2024-08-05T11:00:06Z,Monday,Summer,1982097,53460,923,0.0274371032295594
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ਮ　ᘄ　⇂ȷ̶　ﾅ ̵̲  -  罪草 / 町田ちま(Cover),Cover,154,2024-07-06T11:00:21Z,Saturday,Summer,386351,17409,259,0.045730436830757525
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,Loveit? - biz×ZERA / 町田ちま(Cover),Cover,155,2024-01-05T11:00:11Z,Friday,Winter,1335758,34927,243,0.026329619586781438
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,【MV】苛性瑠璃色真夜中 / 町田ちま,MV,233,2023-12-13T13:00:08Z,Wednesday,Winter,658210,15534,130,0.023797876057793106
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,【MV】名前のない感情 / 町田ちま,MV,190,2023-12-01T11:00:10Z,Friday,Winter,1239502,20050,203,0.0163396267210541
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,【MV】背後に注意 / 町田ちま,MV,164,2023-10-03T11:00:10Z,Tuesday,Fall,959988,27490,322,0.02897119547327675
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,Ready Steady - Giga / 黒夢町(Cover),Cover,213,2023-09-14T11:00:08Z,Thursday,Fall,2025719,47631,567,0.02379303348588822
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,想像フォレスト - じん / 町田ちま(Cover),Cover,254,2023-08-16T11:00:10Z,Wednesday,Summer,3404539,57368,642,0.017039017617363175
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,だきしめるまで。 - MIMI / 町田ちま(Cover),Cover,158,2023-08-05T10:30:08Z,Saturday,Summer,1120429,25676,315,0.023197364580888214
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,すずめ - RADWIMPS feat.十明 / 町田ちま(Cover),Cover,242,2023-07-08T11:00:07Z,Saturday,Summer,1839730,50461,527,0.027714936430889316
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ジェヘナ(Gehenna) - wotaku / 町田ちま(Cover),Cover,250,2023-06-03T11:00:08Z,Saturday,Summer,6810132,80678,643,0.011941178232668617
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,バグ - かいりきベア / 町田ちま(Cover),Cover,172,2023-02-18T11:00:10Z,Saturday,Winter,3115285,56199,503,0.018201223965062588
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,神様は死んだ、って / 町田ちま(Cover)【シャニマス】,Cover,239,2023-01-31T13:00:08Z,Tuesday,Winter,1027234,29002,245,0.028471604327738372
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,悪魔の子 - ヒグチアイ / 町田ちま(Cover),Cover,231,2023-01-21T11:00:10Z,Saturday,Winter,2981578,58119,532,0.01967112716823105
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,キメラ - DECO*27 / 町田ちま(Cover),Cover,167,2022-10-08T11:00:11Z,Saturday,Fall,1350824,28182,238,0.021039010263365177
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,永遠のあくる日 - Ado / 町田ちま(Cover),Cover,247,2022-08-05T11:30:10Z,Friday,Summer,1313448,34103,405,0.026272833031836813
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,ド屑 - なきそ / 町田ちま(Cover),Cover,120,2022-07-09T12:30:13Z,Saturday,Summer,13342902,202202,2370,0.015331897064071969
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,CH4NGE - Giga / 町田ちま(Cover),Cover,137,2022-03-22T11:30:11Z,Tuesday,Spring,4015167,81073,590,0.020338630995921217
vTubers,UCo7TRj3cS-f_1D9ZDmuTsjw,790000,生きる - 水野あつ / 町田ちま(Cover),Cover,140,2022-02-12T11:00:11Z,Saturday,Winter,3582228,67523,969,0.0191199443474843
