style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,swim / 緑仙 Cover,Cover,207,2025-08-09T10:00:31Z,Saturday,Summer,7456,1358,81,0.19299892703862662
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,あの子のジンタ / 緑仙 Cover,Cover,217,2025-08-02T10:00:06Z,Saturday,Summer,55763,4137,112,0.07619747861485214
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,裏表ラバーズ / 緑仙 Cover,Cover,185,2025-07-26T10:00:06Z,Saturday,Summer,274393,9740,199,0.036221769505781855
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,登場人物紹介 / 緑仙 Cover,Cover,169,2025-07-20T10:00:06Z,Sunday,Summer,38033,2965,95,0.08045644571819209
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,だから僕は音楽を辞めた / 緑仙 Cover,Cover,246,2025-07-12T10:00:06Z,Saturday,Summer,312820,10601,232,0.03463013873793236
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,ネクロの花嫁 / 緑仙 Cover,Cover,232,2025-07-05T10:00:06Z,Saturday,Summer,120908,6239,134,0.0527094981308102
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,【MV】確証論 / 緑仙　TVアニメ「ネクロノミ子のコズミックホラーショウ」オープニング主題歌,MV,217,2025-07-01T15:00:06Z,Tuesday,Summer,491549,7819,244,0.01640324769249861
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,ダリア / 緑仙 Cover,Cover,213,2025-06-21T10:00:06Z,Saturday,Summer,186017,9155,278,0.05071041894020439
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,リーチヒマヒママヨヤキソバ / 緑仙 Cover,Cover,152,2025-06-14T10:00:06Z,Saturday,Summer,53498,2880,152,0.056675015888444424
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,臨界ダイバー / 緑仙 Cover,Cover,197,2025-05-31T11:00:06Z,Saturday,Spring,730350,15387,261,0.021425344013144384
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,いきのこり●ぼくら / 緑仙×鏑木ろこ Cover,Cover,404,2025-05-25T11:00:07Z,Sunday,Spring,150065,10415,205,0.07076933328890814
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,キルマー / 緑仙 Cover,Cover,212,2025-05-18T10:00:06Z,Sunday,Spring,200375,6749,138,0.034370555208983154
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,オーケストラ / 緑仙 Cover,Cover,342,2025-05-11T10:00:07Z,Sunday,Spring,134319,3414,105,0.02619882518482121
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,全部夢だった！ / 緑仙×水槽 Cover,Cover,134,2025-05-03T10:00:06Z,Saturday,Spring,205638,8668,120,0.04273529211527052
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,明日は日曜日 / 緑仙 Cover,Cover,229,2025-04-27T10:00:06Z,Sunday,Spring,92680,3968,140,0.04432455761760898
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,ray /緑仙×松本吉弘 Cover,Cover,302,2025-04-13T10:00:06Z,Sunday,Spring,222474,8066,164,0.03699308683261864
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,Bunny Girl / 緑仙 Cover,Cover,219,2025-04-07T10:00:06Z,Monday,Spring,390284,14852,304,0.038833259882547065
vTubers,UCt5-0i4AVHXaWJrL8Wql3mw,758000,【MV】Doubtful one chance / チームヘラクレス2024,MV,228,2025-04-03T15:00:06Z,Thursday,Spring,190914,8538,159,0.045554542883183
