style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】青のすみか【長尾景/にじさんじ】,Cover,198,2025-07-24T13:00:06Z,Thursday,Summer,308109,19070,610,0.06387349931355461
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】からくりピエロ【長尾景/星導ショウ/にじさんじ】,Cover,290,2025-05-24T11:00:06Z,Saturday,Spring,2335213,79011,1688,0.03455744722215918
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】身売り【長尾景/にじさんじ】,Cover,162,2025-01-28T11:00:06Z,Tuesday,Winter,1015382,34063,1083,0.034613574004660315
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】サンドリヨン【長尾景/町田ちま/にじさんじ】,Cover,283,2024-10-23T13:00:07Z,Wednesday,Fall,5579201,91536,1699,0.016711174234446832
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】酔いどれ知らず【長尾景/にじさんじ】,Cover,135,2024-07-24T13:30:07Z,Wednesday,Summer,595089,21140,378,0.03615929718075784
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】キヅアト/センチミリメンタル【長尾景cover】【にじさんじ】,Cover,246,2024-04-29T11:00:07Z,Monday,Spring,354306,13671,391,0.03968885652515058
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【MV】MIRROR/長尾景【オリジナル曲】,MV,249,2024-04-04T11:00:07Z,Thursday,Spring,314985,11345,492,0.037579567280981635
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】ボッカデラベリタ / 柊キライ【長尾景cover】【にじさんじ】,Cover,202,2024-02-23T12:00:07Z,Friday,Winter,474110,19928,443,0.04296682204551686
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】Overdose / なとり【長尾景/にじさんじ】,Cover,197,2024-01-03T13:00:11Z,Wednesday,Winter,665650,26140,427,0.039911364831367833
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】未完成 / 家入レオ【長尾景cover】【にじさんじ】,Cover,243,2023-09-29T10:00:11Z,Friday,Fall,1576413,37879,945,0.02462806383860067
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【オリジナル曲】神様の願いを叶えた歌【長尾景/にじさんじ】,MV,215,2020-12-14T10:00:12Z,Monday,Winter,739092,31241,827,0.043388373842498634
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】BAE / 「BaNG!!!」 -Paradox Live（パラライ）【VΔLZcover】【にじさんじ】,Cover,232,2020-09-29T09:00:09Z,Tuesday,Fall,1491225,41468,822,0.028359234857248235
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】丸の内サディスティック/椎名林檎【長尾景cover】【にじさんじ】,Cover,228,2020-07-09T12:00:17Z,Thursday,Summer,833493,22378,368,0.027289971241510128
vTubers,UCXW4MqCQn-jCaxlX-nn-BYg,491000,【歌ってみた】God knows…/涼宮ハルヒ（CV平野綾）【涼宮ハルヒの憂鬱】【長尾景cover】【にじさんじ】,Cover,281,2020-06-02T12:00:10Z,Tuesday,Summer,1711104,36396,646,0.021648012043686417
