style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,葛葉監督へ『Never-ending tale』Covered by 神速高校野球部員,Cover,121,2025-07-25T05:30:07Z,Friday,Summer,1534577,85686,1799,0.05700919536784404
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,Bling-Bang-Bang-Born / Creepy Nuts 歌ってみた【渡会雲雀/にじさんじ】,Cover,169,2025-07-16T09:00:06Z,Wednesday,Summer,582968,34779,782,0.060999917662719054
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,小さな恋のうた / MONGOL800 Covered by 2時だとか,Cover,223,2025-06-11T11:30:07Z,Wednesday,Summer,2538503,91440,1487,0.03660700814613967
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,DRINK IT DOWN / L'Arc～en～Ciel 歌ってみた【渡会雲雀/にじさんじ】,Cover,247,2025-05-08T13:00:06Z,Thursday,Spring,893784,33615,1088,0.03882705441135666
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,絶対零度 / なとり 歌ってみた【渡会雲雀/にじさんじ】,Cover,199,2025-04-12T11:00:07Z,Saturday,Spring,2011502,55304,1153,0.028067086187336627
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,アイドル / YOASOBI 歌ってみた【渡会雲雀/にじさんじ】,Cover,215,2025-03-14T10:00:06Z,Friday,Spring,1502154,55485,1477,0.037920213240453374
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,ぼうけんのしょがきえました！/ じーざすP   歌ってみた【笹木咲＆渡会雲雀/にじさんじ】,Cover,221,2024-09-27T11:00:07Z,Friday,Fall,1149123,38373,592,0.03390846758789094
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,月陽 -ツキアカリ-  / みきとP 歌ってみた【戌亥とこ＆渡会雲雀/にじさんじ】,Cover,237,2024-09-05T11:00:07Z,Thursday,Fall,3223767,62768,1003,0.01978151646815666
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,fake face dance music / 音田雅則 歌ってみた【渡会雲雀/にじさんじ】,Dance,156,2024-08-20T10:05:07Z,Tuesday,Summer,3233887,64168,1164,0.020202313809975427
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,シャンティ（Rock arrange ver.） / wotaku  歌ってみた【渡会雲雀/にじさんじ】,Cover,167,2024-07-13T10:00:07Z,Saturday,Summer,2750027,80301,1740,0.02983279800525595
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,1000の言葉 / 倖田來未 Band cover【渡会雲雀／にじさんじ】,Cover,357,2024-04-01T13:10:07Z,Monday,Spring,1508599,31738,994,0.02169695194017761
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,ユルファ(Yurufuwa) / 歌ってみた【風楽奏斗＆渡会雲雀/にじさんじ】,Cover,219,2024-02-15T12:00:09Z,Thursday,Winter,7519316,78418,1840,0.01067357722431136
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,ハイド・アンド・シーク / NOMELON NOLEMON  歌ってみた【渡会雲雀/にじさんじ】,Cover,199,2023-12-17T11:00:07Z,Sunday,Winter,10479710,86674,2159,0.00847666586193702
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,ニュートンダンス /  ナユタン星人 × Chinozo (初音ミク & FloweR)  歌ってみた【渡会雲雀/にじさんじ】 #あの8人でナユタンメドレー,Cover,195,2023-11-11T11:00:09Z,Saturday,Fall,6383709,56886,1123,0.009087037018761351
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,地球最後の告白を / kemu  歌ってみた【渡会雲雀/にじさんじ】,Cover,273,2023-09-23T11:00:07Z,Saturday,Fall,6109805,90975,1279,0.015099336230861704
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,夜咄ディセイブ / じん 歌ってみた【渡会雲雀/にじさんじ】,Cover,198,2023-08-19T11:00:11Z,Saturday,Summer,4230673,74919,985,0.017941353538786856
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,【オリジナルMV】skylark【渡会雲雀／にじさんじ】,MV,213,2023-05-12T13:15:09Z,Friday,Spring,2182592,47037,1459,0.02221945283406152
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,嘘 / シド 歌ってみた 【渡会雲雀/にじさんじ】,Cover,208,2023-04-01T11:00:11Z,Saturday,Spring,5219759,78189,1356,0.015239209319817256
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,CHAINSAW BLOOD / Vaundy 歌ってみた 【渡会雲雀/にじさんじ】,Cover,206,2023-02-23T12:00:09Z,Thursday,Winter,5634927,78967,1723,0.014319617627699524
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,神っぽいな / ピノキオピー 歌ってみた【渡会雲雀/にじさんじ】,Cover,207,2022-12-28T12:00:09Z,Wednesday,Winter,6679574,121568,2178,0.01852603174992896
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,StaRt / Mrs. GREEN APPLE 歌ってみた【渡会雲雀/にじさんじ】,Cover,217,2022-08-31T12:00:11Z,Wednesday,Summer,18161149,205177,4011,0.011518434213606198
vTubers,UC4l9gz3q65lTBFfFtW5LLeA,565000,【生演奏/切り抜き】サマータイムレコード/じん 歌ってみた【渡会雲雀/にじさんじ】,Cover,277,2022-08-14T03:00:32Z,Sunday,Summer,3019998,58441,833,0.01962716531600352
