style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,11 cover. (鄧紫棋)【厄倫蒂兒 Earendel】,Cover,240,2025-04-07T16:00:07Z,Monday,Spring,184732,4667,197,0.026330034861312603
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,埋 Buried(好樂團 GoodBand) cover. 【厄倫蒂兒 Earendel】,Cover,260,2024-12-16T15:30:06Z,Monday,Winter,34425,1694,62,0.05100944081336238
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,使一顆心免於哀傷(崩壞：星穹鐵道) cover. 【厄倫蒂兒 Earendel】,Cover,213,2024-12-02T15:45:06Z,Monday,Winter,50952,3598,117,0.0729117600879259
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,星屑の夜空 / 厄倫蒂兒 Earendel.【Official Music Video】,MV,373,2024-11-24T13:00:06Z,Sunday,Fall,146523,5817,186,0.04096967711553817
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,わたしのつばさ(中司雅美)  cover.【厄倫蒂兒 Earendel】,Cover,260,2024-07-01T15:30:06Z,Monday,Summer,39583,1960,38,0.05047621453654347
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,P5X【Wake up your hero】 / 厄倫蒂兒Earendel. 《女神異聞錄：夜幕魅影》Cover 【歌ってみた】#P5X #女神異聞錄夜幕魅影,Cover,211,2024-03-06T13:30:09Z,Wednesday,Spring,36738,1624,39,0.04526648157221406
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,你知道星星多重嗎 falling cover. 【厄倫蒂兒 Earendel】,Cover,300,2023-12-30T16:00:10Z,Saturday,Winter,407301,6398,191,0.01617722519709011
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,【誕生日記念】晚餐歌(tuki.) cover. 【厄倫蒂兒 Earendel】,Cover,226,2023-11-25T13:20:08Z,Saturday,Fall,734034,11686,236,0.01624175446913903
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,【周年記念】星になる( Islet feat.倚水) cover. 【厄倫蒂兒 Earendel】,Cover,241,2023-09-11T15:30:09Z,Monday,Fall,750488,11541,237,0.0156937885749006
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,On My Way / 厄倫蒂兒Earendel. 楓之谷M OST Cover 【歌ってみた】,Cover,255,2023-07-31T15:30:11Z,Monday,Summer,104346,2854,131,0.028606750618135817
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,愛じゃない - 厄倫蒂兒  ft. @SekiChannel  【Cover】,Cover,138,2023-06-05T15:45:07Z,Monday,Summer,309525,6463,110,0.02123576447782893
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,私は最強／ (ウタ from ONE PIECE FILM RED) cover. 【厄倫蒂兒 Earendel】,Cover,272,2023-03-10T15:00:08Z,Friday,Spring,90260,2741,83,0.03128739197872812
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,明仔載(盧廣仲) cover.  【厄倫蒂兒 Earendel】,Cover,223,2023-02-13T15:30:09Z,Monday,Winter,32443,1362,36,0.043090959529020124
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,或是一首歌(田馥甄) cover.  【厄倫蒂兒 Earendel】,Cover,277,2023-02-09T15:00:11Z,Thursday,Winter,44353,1062,24,0.024485378666606543
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,鏡花堂／厄倫蒂兒Earendel. 幻塔 Cover 【歌ってみた】,Cover,214,2023-02-08T10:00:10Z,Wednesday,Winter,28887,1453,57,0.05227264859625437
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,流浪者之歌(陳綺貞) cover.  【厄倫蒂兒 Earendel】,Cover,298,2023-02-06T15:15:08Z,Monday,Winter,108538,1656,54,0.01575485083565203
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,奇妙能力歌(陳粒) cover. 【厄倫蒂兒 Earendel】,Cover,264,2023-01-30T15:30:10Z,Monday,Winter,74923,1818,55,0.024998998972278207
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,願溫柔的妳被世界溫柔以待(綠繡眼Zos) cover. 【厄倫蒂兒 Earendel】,Cover,238,2023-01-23T15:20:07Z,Monday,Winter,225892,3221,89,0.014653020027269668
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,Target for Love／厄倫蒂兒Earendel.  Blue Archive OST Cover 【歌ってみた】,Cover,215,2023-01-20T11:00:11Z,Friday,Winter,147876,3702,100,0.02571073061213449
