style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,冰霧Eisnebel《讓我把自己擱淺》(Original),MV,134,2025-06-12T10:30:06Z,Thursday,Summer,14074,1199,57,0.08924257496092085
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,冰霧Eisnebel 《讓我把自己擱淺》(Special Edition) Prod.LINION,Live,129,2025-06-12T10:27:06Z,Thursday,Summer,10314,795,26,0.07960054295132829
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,Drop / HANA (Cover) | 冰霧Eisnebel,Cover,151,2025-05-24T10:00:06Z,Saturday,Spring,5280,503,41,0.10303030303030303
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,冰霧Eisnebel《Break Reality》(Piano Ver.),Cover,150,2025-01-08T09:00:34Z,Wednesday,Winter,2898,309,18,0.11283643892339544
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,冰霧Eisnebel 《Break Reality》(Original),MV,229,2024-12-05T10:00:06Z,Thursday,Winter,18494,1216,77,0.0699145668865578
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,冰霧Eisnebel《離不開有你的所有幻想》(原創曲Demo),MV,159,2024-10-12T10:30:26Z,Saturday,Fall,29667,1511,112,0.05470725048033168
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,I love you so/The Walters (Cover) | 冰霧Eisnebel,Cover,127,2024-08-13T09:00:44Z,Tuesday,Summer,5082,444,39,0.09504132231404959
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,【Cover】 ILLIT / Magnetic (City Night Ver.) ｜冰霧Eisnebel,Cover,172,2024-05-27T10:30:07Z,Monday,Spring,10102,724,54,0.07701445258364681
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,血母蔭身/ 珂拉琪 Collage （Cover）【冰霧Eisnebel】,Cover,135,2024-05-07T10:30:14Z,Tuesday,Spring,8360,666,48,0.0854066985645933
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,冰霧Eisnebel 《讓我把ㄐㄐ擱淺》 (Original Demo),MV,125,2024-03-29T10:30:20Z,Friday,Spring,17830,893,83,0.05473920358945597
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,冰霧Eisnebel《Supernova》(Original),MV,128,2024-02-14T10:30:10Z,Wednesday,Winter,92925,2889,125,0.03243475921442023
vTubers,UCvglsaXuC9oHuDJZaZbs0AQ,46200,Overdose - なとり / Cover by 冰霧 Eisnebel,Cover,200,2023-11-06T11:00:08Z,Monday,Fall,48590,2195,61,0.04642930644165466
