style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,【這是一種原創曲嗎】真的好想早睡【涅默Nemesis】,MV,157,2025-04-11T19:00:06Z,Friday,Spring,52564,3874,184,0.0772011262461
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,POP/STARS - K/DA／涅默Nemesis ft. 汐Seki、煌Kirali、瓦西瓦瓦Vaswawa【Cover】,Cover,198,2025-03-28T11:00:06Z,Friday,Spring,136165,7155,186,0.053912532589138175
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,【崩壞：星穹鐵道】今年聽了哪些動人的歌曲呢？跟捏摸一起來聽聽知更鳥的組曲吧－涅默Nemesis【Cover】,Cover,244,2024-12-29T10:00:04Z,Sunday,Winter,10660,1003,40,0.09784240150093809
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,Lucky - Jason Mraz (feat. Colbie Caillat)／涅默Nemesis【Cover】,Cover,199,2024-12-25T10:00:16Z,Wednesday,Winter,12894,1021,56,0.08352722196370405
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,Under the Tree - Ed Sheeran／涅默Nemesis【Cover】,Cover,250,2024-12-23T10:00:44Z,Monday,Winter,26576,1979,84,0.0776264298615292
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,キツネノマド (Queen Fox) - Raon／涅默Nemesis【Cover】,Cover,184,2024-11-26T11:00:07Z,Tuesday,Fall,46173,2150,87,0.04844822731899595
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,【二周年紀念】你是不是有點動心 - 吳卓源／涅默Nemesis【Cover】,Cover,285,2024-09-26T13:00:22Z,Thursday,Fall,148583,3322,93,0.022983786839678833
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,【#3DMV】Horizon / 涅默Nemesis【Original Collaboration】,MV,287,2024-08-27T12:30:06Z,Tuesday,Summer,14084,1257,53,0.0930133484805453
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,ECLIPSE - Raon & DAZBEE／涅默Nemesis feat. @浠Mizuki【Cover】,Cover,209,2024-06-25T12:30:07Z,Tuesday,Summer,117830,3708,107,0.032377153526266654
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,Never Grow Up (Acoustic Version) - ちゃんみな / 涅默Nemesis【Cover】,Cover,230,2024-05-21T12:05:11Z,Tuesday,Spring,167237,3972,141,0.024593839879930877
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,Sway to My Beat (by Robin) 在銀河中孤獨搖擺  | 涅默Nemesis【Cover】,Cover,172,2024-05-10T11:00:07Z,Friday,Spring,90463,4641,107,0.0524855465770536
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,《異世界奇妙生活》同名主題曲4月26日，來赴異世界的約定吧~ / 涅默Nemesis ft. @AnninMiru   @ruroroisme【Cover】,Cover,184,2024-04-25T04:00:07Z,Thursday,Spring,7831,565,34,0.07649086962073809
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,偽物人間40号 - ¿?shimon／涅默Nemesis ft. @HibikiVtuber【Cover】,Cover,198,2024-03-01T12:00:10Z,Friday,Spring,240934,4473,129,0.019100666572588344
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,晴る (Sunny) - ヨルシカ／涅默Nemesis【Cover】,Cover,283,2024-02-04T11:00:11Z,Sunday,Winter,221071,4428,93,0.020450443522669188
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,チューリングラブ - 涅默Nemesis ft. 哈瓜Jongie【Cover】,Cover,226,2024-01-05T11:00:07Z,Friday,Winter,236844,7021,188,0.030437756497948016
vTubers,UCFiIsVOC1p_gfTYDYXXfl4g,142000,【Original】Horizon - Piano Ver. feat. @silverspianist,Cover,267,2023-12-29T11:00:11Z,Friday,Winter,52703,1898,49,0.03694286852740831
