style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,向陽 / 歐妲Olda ( 出自歌乙女之音)【Official Music Video】,MV,369,2025-07-05T13:00:06Z,Saturday,Summer,3712,461,52,0.13820043103448276
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【cover】Part Of Your World / 歐妲 Olda【歌ってみた】,Cover,213,2025-05-11T13:40:06Z,Sunday,Spring,2762,471,37,0.18392469225199132
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【日常練唱】使一顆心免於哀傷 If I can stop one heart from breaking /cover 歐妲Olda ! 送給我最愛的小浠姊姊生日快樂【歐妲/惡獸時代】,Cover,220,2024-07-22T16:51:31Z,Monday,Summer,1623,264,15,0.17190388170055454
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【cover】NieR: Automata : Weight of the World 壊レタ世界ノ歌 / 歐妲 Olda【歌ってみた】,Cover,346,2024-03-31T09:00:07Z,Sunday,Spring,10364,825,48,0.08423388653029719
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【cover】新時代(中文填詞版) / 歐妲 Olda【歌ってみた】,Cover,233,2024-02-09T11:00:08Z,Friday,Winter,3642,477,39,0.1416803953871499
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【cover】勾指起誓 / 歐妲 Olda【歌ってみた】,Cover,192,2024-01-01T04:00:08Z,Monday,Winter,8051,588,57,0.08011427151906596
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【cover】ワールドイズマイWorld Is Mine / 歐妲 Olda【歌ってみた】,Cover,259,2023-12-13T11:00:12Z,Wednesday,Winter,9510,919,69,0.10389064143007361
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【cover】I Really Want to Stay At Your House (Cyberpunk: Edgerunners) / 歐妲 Olda【歌ってみた】,Cover,251,2023-09-19T11:00:09Z,Tuesday,Fall,20398,1231,84,0.06446710461809982
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【日常練唱 : Day by Day 】小浠姐姐生日快樂 ! 浠巴妲Forever 【歐妲/惡獸時代】,Cover,334,2023-07-22T16:03:28Z,Saturday,Summer,1645,282,19,0.1829787234042553
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【原創曲:我不可愛請給我錢】我不可愛請給我錢/ 歐妲Olda 15號 No.Fifteen【歐妲/惡獸時代】,MV,242,2023-06-29T14:15:09Z,Thursday,Summer,19759,1663,94,0.08892150412470266
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【原創曲:千羽鶴】千羽鶴/ 歐妲Olda 阿爾姿Amrzs【歐妲/惡獸時代】,MV,220,2023-05-27T13:10:10Z,Saturday,Spring,67515,3294,162,0.05118862475005554
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【日常練唱:給我的鳥鳥阿爾姿】ベテルギウス - 優里/ 歐妲 Olda Cover 【歐妲/惡獸時代】,Cover,251,2023-05-23T17:30:10Z,Tuesday,Spring,5828,626,44,0.11496225120109815
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【Cover】アイドル(YOASOBI) / 歐妲 【歌ってみた】#推しの子 #YOASOBI #アイドル,Cover,222,2023-04-30T11:00:10Z,Sunday,Spring,10851,1001,74,0.09906921021104045
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【Cover】Haruka (「ハルカ」English Ver.)/ 歐妲 【歌ってみた】,Cover,245,2023-03-17T11:45:12Z,Friday,Spring,6707,516,47,0.0839421499925451
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【原創曲 : 惡獸甜點】歐妲的首支原創曲 ! 惡獸甜點 ! 通通把甜食奉獻給我吧 【歐妲/惡獸時代】,MV,135,2023-01-18T11:15:09Z,Wednesday,Winter,18416,1181,204,0.07520634231103389
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,【Cover】KING / 惡獸時代 :歐妲、海唧、阿爾姿 【惡獸時代】,Cover,137,2022-12-11T15:25:20Z,Sunday,Winter,18116,1287,44,0.07347096489291234
vTubers,UCfZofhrZ4pxCESrcs5m5NJg,59900,[Cover] 蜜月アン・ドゥ・トロワ Honey Moon Un Deux Trois [歐妲Olda Vtuber],Cover,256,2021-12-03T11:00:15Z,Friday,Winter,41843,1620,121,0.041607915302440075
