style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,月のワルツ / 埃穆亞OUMUA cover【歌ってみた】,Cover,283,2025-07-07T12:30:06Z,Monday,Summer,14010,1433,73,0.10749464668094219
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,有線耳機 / 埃穆亞oumua × Koana 考娜 COVER,Cover,226,2025-04-04T14:30:06Z,Friday,Spring,48880,2030,73,0.04302373158756138
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,星月夜の調べ / 埃穆亞oumua × 雲隙光kumosuki cover【歌ってみた】,Cover,258,2024-10-31T15:11:22Z,Thursday,Fall,66056,2665,90,0.041707036453917885
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,難過233秒 / ChiliChill (covered by 埃穆亞oumua),Cover,232,2024-09-24T15:00:31Z,Tuesday,Fall,68438,2097,62,0.03154680148455537
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,ハレハレヤ(朗朗晴天) / 羽生まゐご (covered by 埃穆亞oumua),Cover,208,2024-09-12T11:00:06Z,Thursday,Fall,105788,2573,74,0.02502174159640035
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,Sway to My Beat (by Robin) 在銀河中孤獨搖擺 / covered by 埃穆亞Oumua 【崩壞：星穹鐵道 - 知更鳥角色曲】,Cover,172,2024-05-11T17:00:07Z,Saturday,Spring,46532,2869,98,0.06376257199346687
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,Loveit? / 埃穆亞OUMUA cover【歌ってみた】,Cover,156,2024-03-21T14:30:07Z,Thursday,Spring,245810,10973,158,0.04528294210975957
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,由薫 – 星月夜 / 埃穆亞OUMUA cover【歌ってみた】,Cover,286,2024-02-21T13:30:09Z,Wednesday,Winter,166441,3950,147,0.024615329155676786
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,Fiction / 埃穆亞Oumua × 涅默Nemesis Cover【歌ってみた】,Cover,156,2024-01-11T15:11:08Z,Thursday,Winter,176087,5632,175,0.03297801654863789
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,雪にひまわり / 埃穆亞OUMUA cover【歌ってみた】,Cover,231,2023-10-31T14:00:11Z,Tuesday,Fall,237347,4858,167,0.021171533661685213
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,佰鬼園 / 埃穆亞OUMUA cover【歌ってみた】,Cover,189,2023-09-28T13:00:11Z,Thursday,Fall,223231,5254,169,0.02429322092361724
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,水龍吟 / 崩壞：星穹鐵道 (covered by 埃穆亞oumua) 【丹恆·飲月君角色曲】,Cover,174,2023-07-23T14:30:07Z,Sunday,Summer,110258,5420,211,0.05107112409076892
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,法螺話 / 埃穆亞OUMUA cover【歌ってみた】,Cover,206,2023-04-12T13:00:09Z,Wednesday,Spring,546033,9054,257,0.01705208293271652
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,すずめ(suzume) / 埃穆亞OUMUA cover【歌ってみた】,Cover,245,2023-03-05T11:30:09Z,Sunday,Spring,587592,12007,321,0.02098054432327193
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,鏡花堂 / 幻塔 (covered by 埃穆亞oumua),Cover,136,2023-02-08T12:00:08Z,Wednesday,Winter,20501,1027,44,0.052241354080288765
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,與浪之間 / Vast & Hazy (covered by 埃穆亞oumua),Cover,288,2023-01-25T07:00:06Z,Wednesday,Winter,217936,3571,120,0.01693616474561339
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,星の消えた夜に / 厄倫蒂兒 × 涅默 × 埃穆亞 cover【歌ってみた】,Cover,370,2022-12-19T11:30:09Z,Monday,Winter,760294,12501,198,0.016702749199651715
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,VaVa - 現実 Feelin' on my mind (covered by 埃穆亞Oumua),Cover,183,2022-11-22T04:55:37Z,Tuesday,Fall,31442,1065,76,0.03628904013739584
vTubers,UCLeyYlqnD5k1fbZIIE4eTsg,105000,エリカの憂い / 埃穆亞OUMUA cover【歌ってみた】,Cover,216,2022-10-17T11:30:09Z,Monday,Fall,261240,6043,156,0.02372913795743378
