style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,✞ 感謝回顧 ꙳ ✞ 2024年12月 - 2025年3月‧虹主席與 o5 的​​虹色軌跡⌇Square Live 白白虹,Live,346,2025-06-07T14:20:06Z,Saturday,Summer,1262,144,18,0.12836767036450078
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,✞ 感謝回顧 ꙳ ✞ 2024年8月 - 2024年11月‧虹主席與 o5 的​​虹色軌跡⌇Square Live 白白虹,Live,382,2025-01-27T10:10:06Z,Monday,Winter,1028,166,30,0.19066147859922178
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,みむかｩわナイストライ ✞ Covered by 白白虹 xxhacucoxx ✞ #イヤホン推奨 #耳機福利 ♡,Cover,219,2025-01-24T10:00:06Z,Friday,Winter,14857,1417,97,0.10190482600794239
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,✞ 天月麻雀 ꙳ ✞ 麻雀の神の高光時刻   ̖́-   優質好麻雀遊戲即將上架啦 !  *. ┊ Square Live 白白虹 xxhacucoxx,Live,372,2025-01-15T10:00:20Z,Wednesday,Winter,2074,157,18,0.08437801350048216
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,パレット ✞ Covered by 白白虹 xxhacucoxx ✞,Cover,183,2024-12-06T12:00:06Z,Friday,Winter,8961,679,95,0.08637428858386341
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,恋愛サーキュレーション ✞ Covered by 白白虹 xxhacucoxx ✞,Cover,254,2024-08-20T11:00:50Z,Tuesday,Summer,5259,645,108,0.14318311466058187
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,sweets parade ✞ Covered by 白白虹 xxhacucoxx ✞,Cover,242,2024-08-09T10:45:06Z,Friday,Summer,3786,500,73,0.15134706814580032
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,✞ 感謝回顧 ꙳ ✞ 2023年12 - 2024年3月‧虹主席與 o5 的​​虹色軌跡⌇Square Live 白白虹,Live,365,2024-04-30T10:10:31Z,Tuesday,Spring,1519,237,46,0.18630678077682686
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,セカイ ✞ Covered by 白白虹 xxhacucoxx ✞,Cover,264,2024-04-02T14:00:07Z,Tuesday,Spring,11347,817,157,0.08583766634352692
vTubers,UCXyAitTabBsoRclTn_Gq-eA,46000,透明水曜日 ✞  Covered by  白白虹 xxhacucoxx ✞,Cover,232,2023-11-09T11:00:11Z,Thursday,Fall,42680,1884,183,0.048430178069353326
