style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC5bHZZ2df6_oFgOM_34_-aw,39400,【COVER - 失礼しますが、RIP♡ || Calliope Mori】🦇🌕艾琳妮雅·裴利 Arrynia Vaeri,Cover,193,2024-02-14T06:14:11Z,Wednesday,Winter,4388,493,29,0.1189608021877848
vTubers,UC5bHZZ2df6_oFgOM_34_-aw,39400,【老公天下第一 Cover - 總共8位Vtuber們的老公天下第一計畫大成功！】🦇🌕艾琳妮雅·裴利 Arrynia Vaeri,Cover,136,2023-12-25T10:25:10Z,Monday,Winter,34042,2599,80,0.0786969038246871
vTubers,UC5bHZZ2df6_oFgOM_34_-aw,39400,【KING Electro Swing Remix Cover with @SHIUCODA 】🦇🌕艾琳妮雅·裴利 Arrynia Vaeri,Cover,142,2023-10-31T02:31:07Z,Tuesday,Fall,9220,722,40,0.082646420824295
vTubers,UC5bHZZ2df6_oFgOM_34_-aw,39400,【Charlie Puth - Light Switch Japanese Cover】🦇🌕艾琳妮雅·裴利 Arrynia Vaeri,Cover,189,2023-05-13T08:30:10Z,Saturday,Spring,10490,541,36,0.0550047664442326
vTubers,UC5bHZZ2df6_oFgOM_34_-aw,39400,Selena Gomez - Good For You / Cover by Arrynia Vaeri ft.@L1KaRuZ,Cover,223,2023-02-10T13:30:10Z,Friday,Winter,35309,1319,84,0.0397349117788665
vTubers,UCVB6njJBYf-7Di03j8993AA,43800,【Ado】ウタカタララバイ（ウタ from ONE PIECE FILM RED） / Cover by 依可露【歌ってみた】,Cover,174,2023-12-03T11:30:10Z,Sunday,Winter,6134,281,17,0.0485816759047929
vTubers,UCVB6njJBYf-7Di03j8993AA,43800,【歌ってみた】Guiano - 鳥🐦Cover by 依可露,Cover,142,2023-11-25T12:00:18Z,Saturday,Fall,19784,380,21,0.0202689041649818
vTubers,UCVB6njJBYf-7Di03j8993AA,43800,【歌ってみた】Lemon - 米津玄師 Kenshi Yonezu  / Cover by 依可露,Cover,251,2023-11-04T13:30:09Z,Saturday,Fall,101383,2129,172,0.0226961127605219
vTubers,UCh2ykSGKiJB3f-Y8w2LWplw,36300,Bunny Girl / AKASAKI - Cover ｜【魁 Kai】,Cover,218,2025-02-01T11:55:06Z,Saturday,Winter,25443,1420,86,0.0591911331210942
vTubers,UCh2ykSGKiJB3f-Y8w2LWplw,36300,Overdose / なとり - Cover ｜【魁 Kai】,Cover,198,2024-10-28T12:00:06Z,Monday,Fall,29680,1457,124,0.0532681940700808
vTubers,UCh2ykSGKiJB3f-Y8w2LWplw,36300,マフィア(Mafia)  - Cover ｜【魁 Kai】,Cover,189,2024-04-05T11:30:06Z,Friday,Spring,73978,2604,131,0.0369704506745248
vTubers,UCF8icKLU4FGF8Ln-KlKakSg,65200,YY - 23.exe／神無月鹿比 × ‪熙歌 @CygnusXDFP × ‪哈瓜 @Jongie × ‪REN @Ren0809 × KSP @KSPKSP【Cover】,Cover,195,2025-06-30T11:00:06Z,Monday,Summer,58193,3049,228,0.0563126149193201
vTubers,UCF8icKLU4FGF8Ln-KlKakSg,65200,Enemy 中文直譯 - Imagine Dragons x J.I.D／神無月鹿比【Cover】,Cover,176,2025-05-11T11:00:06Z,Sunday,Spring,41761,2936,108,0.0728909748329781
vTubers,UCF8icKLU4FGF8Ln-KlKakSg,65200,刀ピークリスマスのテーマソング2023 - ピーナッツくん／神無月鹿比【Cover】,Cover,223,2025-04-27T10:00:50Z,Sunday,Spring,5575,389,21,0.0735426008968609
vTubers,UCF8icKLU4FGF8Ln-KlKakSg,65200,I Really Want to Stay At Your House - Rosa Walton／神無月鹿比【Cover】,Cover,250,2024-10-09T12:00:06Z,Wednesday,Fall,167388,6069,170,0.0372726838244079
vTubers,UCF8icKLU4FGF8Ln-KlKakSg,65200,ママ - HoneyWorks／神無月鹿比【Cover】,Cover,233,2023-05-14T05:00:08Z,Sunday,Spring,33330,1120,53,0.0351935193519351
vTubers,UCF8icKLU4FGF8Ln-KlKakSg,65200,チューリングラブ／神無月鹿比 × 厄倫蒂兒@EarendelXDFP 【Cover】,Cover,221,2023-02-14T13:30:10Z,Tuesday,Winter,443627,7750,181,0.0178776314336142
vTubers,UCj76pRLEg2JHwDwJJXvZtSw,27500,【歌ってみた】在加納共和國離婚 - 菲道爾&大穎 / 酒樂霧子×結月莉莉奈,Cover,259,2025-01-01T05:14:06Z,Wednesday,Winter,11795,830,34,0.0732513777024162
vTubers,UCj76pRLEg2JHwDwJJXvZtSw,27500,【歌ってみた】人マニア - 原口沙輔 / 酒樂霧子,Cover,128,2024-12-07T08:00:06Z,Saturday,Winter,6315,491,14,0.0799683293745051
