style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCyl1z3jo3XHR1riLFKG5UAg,1780000,「Cover」More One Night - feat. @AkaiHaato​,Cover,214,2023-08-24T03:00:07Z,Thursday,Summer,461447,44433,1461,0.099456709004501
vTubers,UCyl1z3jo3XHR1riLFKG5UAg,1780000,ChikuTaku - Original Song ✨ チクタク - オリジナル曲,MV,241,2023-01-18T03:30:11Z,Wednesday,Winter,1088851,73897,4001,0.0715414689429499
vTubers,UCyl1z3jo3XHR1riLFKG5UAg,1780000,KING / ft. Smol Ame【COVER】,Cover,135,2022-09-14T23:00:09Z,Wednesday,Fall,1306192,110278,2284,0.08617569239438
vTubers,UCyl1z3jo3XHR1riLFKG5UAg,1780000,【COVER】Ookami Blues ~,Cover,213,2022-04-03T05:00:12Z,Sunday,Spring,442262,42825,1735,0.1007547562304697
vTubers,UCyl1z3jo3XHR1riLFKG5UAg,1780000,「Deck The Halls」Christmas Song Cover by Amelia Watson,Cover,131,2021-12-26T02:45:09Z,Sunday,Winter,526749,54296,1824,0.1065403066735769
vTubers,UCyl1z3jo3XHR1riLFKG5UAg,1780000,[Original MV] Myth or Treat - Happy Halloween - holoMyth,MV,124,2021-11-01T04:00:13Z,Monday,Fall,7191689,256353,6160,0.0365022736661721
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Tetoris || HAKOS BAELZ COVER,Cover,143,2025-07-13T04:00:06Z,Sunday,Summer,551436,35379,939,0.0658607707875438
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Best Friend - Kana Nishino || preYdator COVER,Cover,325,2025-04-25T03:00:06Z,Friday,Spring,863180,53213,1827,0.0637642206723974
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】狂宴-FEAST- || HAKOS BAELZ,MV,145,2025-02-28T13:10:07Z,Friday,Winter,443128,25763,451,0.0591567222111895
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】雨乙女 / Ameotome || HAKOS BAELZ COVER,Cover,151,2025-02-14T03:00:10Z,Friday,Winter,502753,22062,403,0.0446839700608449
