style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,にっこり^^調査隊のテーマ / エクスアルビオ×白雪レイド×アキロゼ(cover),Cover,207,2024-04-29T12:00:06Z,Monday,Spring,1377788,44145,1524,0.0331466089122564
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,強風オールバック/アキ・ローゼンタール(cover),Cover,136,2023-08-30T09:30:08Z,Wednesday,Summer,207972,15319,306,0.0751303060027311
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,ー魔女と旋律の街 ー/白上フブキ×アキ・ローゼンタール【歌ってみた】,Cover,183,2022-12-09T13:00:08Z,Friday,Winter,263134,13928,216,0.0537520806889265
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】MOON PRIDE【夜空メル×アキ・ローゼンタール×角巻わため×尾丸ポルカ】美少女戦士セーラームーンCrystal OPテーマ,Live,218,2022-06-04T15:45:10Z,Saturday,Summer,183336,8229,148,0.0456920626609067
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】色彩のブルース-雨の街で気分よく歌って踊ってみた-【アキ・ローゼンタール/ホロライブ】,Live,330,2022-06-04T11:00:14Z,Saturday,Summer,52730,4207,108,0.0818319742082306
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】フォニィphonyー雨の街で歌ってみたー【猫又おかゆ×アキ・ローゼンタール】,Live,199,2022-06-04T10:00:11Z,Saturday,Summer,108308,6821,79,0.0637072053772574
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】幸せになれる隠しコマンドがあるらしい【戌神ころね×アキ・ローゼンタール/ホロライブ】,Live,226,2022-06-04T09:00:21Z,Saturday,Summer,297675,13059,255,0.044726631393298
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】Here   TVアニメ「魔法使いの嫁」OP曲【アキ・ローゼンタール/ホロライブ】,Live,260,2022-06-04T08:00:16Z,Saturday,Summer,90123,6420,104,0.0723899559490918
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,"【3D LIVE映像】君の銀の庭 ""Your silver Garden""劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語 ED【AZKi/大神ミオ/アキ・ローゼンタール】",Live,348,2022-06-04T07:00:14Z,Saturday,Summer,366906,15220,484,0.0428011534289436
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】OP ACT ーAKIROSE WORLDー【アキ・ローゼンタール/ホロライブ】,Live,131,2022-06-04T05:11:21Z,Saturday,Summer,34439,3738,86,0.1110369058335027
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3DLIVE映像】『ROSE of the LAMP』歌って踊ってみた！【Aki Rosenthal】,Live,230,2022-06-03T03:45:13Z,Friday,Summer,240019,11436,242,0.0486544815202129
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【LIVE映像】ホロライブ1期生みんなで『 plasmagic seasons!』,Live,250,2022-06-02T03:26:42Z,Thursday,Summer,132711,9523,248,0.0736261500553835
