style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,送給你的- 響Hibiki【Cover】,Cover,345,2025-04-27T15:10:06Z,Sunday,Spring,96231,5912,740,0.0691253338321331
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,求救訊號 - 響Hibiki【Cover】,Cover,238,2024-12-22T16:15:06Z,Sunday,Winter,241445,6842,184,0.0290997949843649
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,響念 Missing -響Hibiki【Official Music Video】,MV,216,2024-11-17T16:00:06Z,Sunday,Fall,247615,5882,209,0.0245986713244351
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,I Ain't Worried- 響Hibiki【Cover】,Cover,157,2024-02-26T14:15:10Z,Monday,Winter,57385,2179,107,0.0398361941273852
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Adamas- 響Hibiki【Cover】,Cover,230,2023-12-10T16:25:11Z,Sunday,Winter,54434,2391,95,0.0456699856707205
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Perfect- 響Hibiki【Cover】,Cover,290,2023-10-17T17:00:09Z,Tuesday,Fall,56295,2280,93,0.0421529443112176
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Ex's and Oh's 前男友們- 響Hibiki ft. 浠Mizuki【Cover】,Cover,249,2023-07-30T12:00:10Z,Sunday,Summer,82549,2849,60,0.0352396758289016
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Believer- 響Hibiki【Cover】,Cover,257,2023-06-18T11:55:11Z,Sunday,Summer,74366,2663,86,0.0369658177123954
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,クネクネ(Wiggle Wiggle)- 響Hibiki ft. 厄倫蒂兒【Cover】,Cover,213,2023-05-13T12:50:09Z,Saturday,Spring,295525,4549,64,0.0156095085018187
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,再会 (SAIKAI)- 響Hibiki ft. 柴崎楓音【Cover】,Cover,241,2023-04-06T14:30:09Z,Thursday,Spring,353775,5124,132,0.0148569005723977
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,シンデレラ・パラドックス(仙杜瑞拉悖論) - 響Hibiki【Cover】,Cover,297,2023-03-14T11:15:08Z,Tuesday,Spring,34148,1220,40,0.0368982078013353
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Kill This Love- 響Hibiki ft. 浠Mizuki、汐Seki 、KSP【Cover】,Cover,196,2023-02-18T11:00:07Z,Saturday,Winter,459791,8870,217,0.0197633272508596
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,言って。(Say it) - 響Hibiki【Cover】,Cover,249,2023-01-29T12:00:06Z,Sunday,Winter,191484,4116,108,0.0220592843266278
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,17さいのうた。 - 響Hibiki ft. 汐Seki 【Cover】,Cover,319,2023-01-07T12:00:10Z,Saturday,Winter,252706,4529,189,0.0186699168203366
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,ロキ/Roki - Covered by Hibiki,Cover,239,2022-12-22T12:00:08Z,Thursday,Winter,253849,5976,145,0.024112759947843
vTubers,UCyO8Nae_zF-OpxtbL01Dwow,9670,ざらめ - 六等星 / 煦Hiyori 【Cover】,Cover,256,2025-08-09T11:38:11Z,Saturday,Summer,15613,2747,190,0.1881124703772497
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,「わたしの一番かわいいところ」祈Iruni/@浠Mizuki/@澪Rei/@橙Yuzumi/@KSPKSP【Cover/歌ってみた】FRUITS ZIPPER,Cover,257,2025-05-28T14:30:06Z,Wednesday,Spring,97496,4394,207,0.0471916796586526
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,炉心融解 (Meltdown)／祈Iruni【Cover/歌ってみた】,Cover,337,2025-04-16T14:30:06Z,Wednesday,Spring,89550,3898,199,0.045750977107761
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,蜜月アン・ドゥ・トロワ (Honeymoon Un Deux Trois)／祈Iruni【Cover/歌ってみた】,Cover,258,2025-03-19T15:00:06Z,Wednesday,Spring,54342,3016,157,0.0583894593500423
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,【官方歌回純享】旦那様とのラブラブ・ラブソング｜釘宮理惠｜祈Iruni【Cover】,Cover,172,2025-01-24T13:30:27Z,Friday,Winter,23446,1353,108,0.0623134010065682
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,忘れじの言の葉／祈Iruni、@澪Rei 【Cover】,Cover,240,2024-11-01T12:00:06Z,Friday,Fall,270031,6713,202,0.0256081709137099
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,Loveit?／祈Iruni【Cover】,Cover,151,2024-10-25T12:00:31Z,Friday,Fall,72286,3214,154,0.0465927012146197
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,【シャニマス】SOS／祈Iruni【Cover】,Cover,242,2024-10-11T12:00:06Z,Friday,Fall,73511,3426,151,0.0486593843098311
vTubers,UCUEXMpxIa7le_CK6yYRAboA,52900,恋愛サーキュレーション(Renai Circulation)／祈Iruni【Cover】,Cover,256,2024-09-24T12:00:31Z,Tuesday,Fall,106872,4763,198,0.0464200164682985
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【One take cover】Huntrix - Golden ( from KPop Demon Hunters )｜玥Itsuki,Cover,195,2025-06-30T12:00:04Z,Monday,Summer,66418,5042,196,0.0788641633292179
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【One take cover】Clair Obscur: Expedition 33 - Lumière｜玥Itsuki,Cover,224,2025-06-04T12:00:07Z,Wednesday,Summer,15092,1170,110,0.0848131460376358
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,Billie Eilish - BIRDS OF A FEATHER Covered by 玥Itsuki,Cover,210,2025-05-24T13:15:26Z,Saturday,Spring,118808,2825,150,0.0250404013197764
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】名前のない怪物 - Covered by 玥Itsuki,Cover,317,2025-02-06T14:10:06Z,Thursday,Winter,81107,3804,150,0.0487504161169812
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【官方歌回純享】高橋洋子 - 残酷な天使のテーゼ coverd by 玥Itsuki,Cover,241,2025-01-22T12:00:44Z,Wednesday,Winter,22928,1371,79,0.0632414515003489
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,Marcus King - Sucker（From Arcane Season 2 ) Covered by 玥Itsuki,Cover,226,2025-01-10T12:00:06Z,Friday,Winter,439381,11444,263,0.0266443018701309
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【One take cover】The Line(From Arcane Season2)｜玥Itsuki,Cover,192,2024-12-07T10:30:01Z,Saturday,Winter,111084,4764,179,0.0444978574772244
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【玥Itsuki】情緒廢物 Emotional Waste（Official Music Video）,MV,193,2024-11-24T13:23:06Z,Sunday,Fall,248149,7334,253,0.0305743726551386
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】INSANE (A Hazbin Hotel Song) Covered by 玥Itsuki,Cover,163,2024-11-16T12:00:09Z,Saturday,Fall,269762,8052,194,0.0305676855895196
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【扉暮IANVS 】暮光 Gloaming Light（Official Music Video）,MV,226,2024-11-08T12:00:06Z,Friday,Fall,240847,6407,189,0.0273866811710338
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】ロウワー Covered by 玥Itsuki × 祈Iruni @IruniIanvs,Cover,227,2024-10-20T12:00:06Z,Sunday,Fall,99111,3955,101,0.0409238126948572
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】Always Remember Us This Way(A Star Is Born) - Covered by 玥Itsuki,Cover,208,2024-10-08T12:00:22Z,Tuesday,Fall,130254,4760,182,0.0379412532436623
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】悪魔の子 (Akuma no Ko) Covered by 玥Itsuki,Cover,229,2024-09-23T12:00:21Z,Monday,Fall,330545,8816,223,0.0273457471751198
vTubers,UCcyTlQ92NIJ4fYR45OFpFQQ,32400,Good Time / Owl City & Carly Rae Jepsen | 子午計畫 Meridian Project 【Cover】,Cover,207,2025-03-15T14:55:06Z,Saturday,Spring,435283,12203,315,0.0287583020701474
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,ブルーアンビエンス / 浠Mizuki & sazki@sazkich 【歌ってみた】,Cover,248,2025-07-30T11:00:07Z,Wednesday,Summer,5998,845,48,0.1488829609869956
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,Stardust Memory / 浠Mizuki【歌ってみた】,Cover,200,2025-07-23T13:00:06Z,Wednesday,Summer,13671,1460,80,0.1126472094214029
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,Luminous -冬明けのボヤージュ- / 浠Mizuki【Official Music Video】,MV,267,2025-07-20T11:00:07Z,Sunday,Summer,27781,2049,121,0.0781109391310607
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,演唱會主題曲打Call教學！要仔細看喔！⭐ #Luminous ⭐#Mizuki1stSoloLive,Live,165,2025-07-11T04:34:38Z,Friday,Summer,15026,1674,68,0.1159323838679622
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,AMPRULE - Do as I say  / 浠Mizuki & 阿爾法德Alphard【歌ってみた】,Cover,181,2025-07-08T15:05:06Z,Tuesday,Summer,5182,686,26,0.1373986877653415
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【三周年以心伝心】Everything Has Changed【浠Mizuki/契夏/菲尼拉比】,Cover,267,2025-06-21T07:03:31Z,Saturday,Summer,1207,161,6,0.1383595691797846
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【10人合唱】僥倖ダンス【歌ってみた】,Cover,257,2025-06-08T14:45:08Z,Sunday,Summer,7387,810,35,0.1143901448490591
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,星街の駅で Piano ver. / 浠Mizuki & 久田はくぜん【歌ってみた】,Cover,269,2025-05-30T14:10:06Z,Friday,Spring,28241,1217,31,0.0441910697213271
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,絕頂讚歌 / 浠Mizuki【歌ってみた】,Cover,183,2025-05-18T12:05:07Z,Sunday,Spring,111329,3443,74,0.031591049951046
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【母親節Cover】ホントノワタシ / 浠Mizuki【感謝を込めて歌ってみた】,Cover,314,2025-05-10T13:23:06Z,Saturday,Spring,14397,1190,30,0.0847398763631312
