style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【カンタレラ Cantarella】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,181,2025-05-28T00:00:06Z,Wednesday,Spring,56740,7229,259,0.1319703912583715
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【 Risley Circus / リズリーサーカス】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,256,2025-01-16T21:00:05Z,Thursday,Winter,14927,1783,97,0.1259462718563676
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【Perception Check】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,124,2024-05-27T22:45:06Z,Monday,Spring,41352,4896,246,0.1243470690655832
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【ゲテモノ Bizarre Food 】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,187,2024-04-05T23:00:05Z,Friday,Spring,142485,9205,463,0.0678527564305014
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【アルミナ Alumina 】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,312,2023-11-12T03:15:09Z,Sunday,Fall,66642,6211,216,0.0964406830527295
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【Lucifer / ルシファー 】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,154,2023-05-27T03:00:09Z,Saturday,Spring,833529,40568,911,0.0497631156204523
vTubers,UCQ1zGxHrfEmmW4CPpBx9-qw,725000,Envy Baby - Kanaria 【 Alban Knox 3D Stage Cover 】,Cover,136,2024-10-27T05:23:18Z,Sunday,Fall,124254,11016,247,0.0906449691760426
vTubers,UCQ1zGxHrfEmmW4CPpBx9-qw,725000,MIRA - Kanaria 【 Alban Knox Cover 】,Cover,141,2024-04-25T01:00:07Z,Thursday,Spring,973443,47665,984,0.0499762184329231
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Butterfly on Your Right Shoulder ／ver. Elira Pendora × Kagamine Len,Cover,270,2025-06-07T01:00:06Z,Saturday,Summer,82727,10189,156,0.1250498628017455
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Fly Me to the Star ／ver. Pomu Rainpuff × Elira Pendora,Cover,193,2024-01-18T00:00:09Z,Thursday,Winter,407745,30279,1149,0.0770775852554905
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,【MV】 sunbeams ／ Elira Pendora,MV,210,2023-12-31T01:00:07Z,Sunday,Winter,678320,35941,1466,0.0551465385068994
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Invincible Rainbow Arrow (English Cover) ／ver. Elira Pendora,Cover,262,2023-10-16T04:05:09Z,Monday,Fall,254695,12943,415,0.0524470445042109
