style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* ドレミファロンド〖 歌って踊ってみたLive ver 〗┊天宮こころ without剣持刀也,Live,205,2025-07-28T10:00:11Z,Monday,Summer,592571,39949,800,0.0687664431772732
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* ポケットのモンスター┊天宮こころ 〖 歌ってみた 〗,Cover,222,2025-07-01T09:00:06Z,Tuesday,Summer,124195,7394,147,0.0607190305567857
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.*〖 歌ってみたLive ver〗ポケットのモンスター /ピノキオピー┊The Pokémon Inside My Heart（　天宮こころ / にじさんじ　）,Live,222,2024-09-02T09:00:11Z,Monday,Fall,142848,5429,62,0.038439460125448
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 異星にいこうね┊天宮こころ 〖 歌ってみた 〗,Cover,170,2024-07-01T08:00:07Z,Monday,Summer,374988,17359,206,0.0468414989279656
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 強風オールバック┊天宮こころ 〖 歌ってみた 〗,Cover,137,2023-08-02T03:00:10Z,Wednesday,Summer,831699,31009,363,0.037720377203772
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 可愛くてごめん┊天宮こころ 〖 歌ってみた 〗,Cover,221,2023-07-01T12:00:10Z,Saturday,Summer,918816,35040,535,0.0387183070386236
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* ヴァンパイア(Kawaii Future Bassアレンジ)┊天宮こころ 〖 歌ってみた 〗,Cover,180,2023-02-12T06:08:32Z,Sunday,Winter,1048861,39915,523,0.038554203083154
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* DONBURA KONBURA SPEAKERS (Cover) ┊ロリコロール,Cover,183,2023-01-01T03:00:10Z,Sunday,Winter,1081648,34890,450,0.0326723666109492
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* ヒトリゴト -  ClariS(Covered by ぽさんけ)  ┊天宮こころ/エリー・コニファー/ラトナ・プティ #ぽさんけ3周年記念,Cover,234,2022-08-08T11:00:14Z,Monday,Summer,1359605,29801,344,0.0221718808036157
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* 水星 - tofubeats feat.オノマトペ大臣(Cover) ┊ 天宮こころ×不破湊,Cover,276,2022-03-27T13:00:10Z,Sunday,Spring,3292317,65152,842,0.0200448498732047
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦.* きゅうくらりん┊天宮こころ 〖 歌ってみた 〗,Cover,216,2022-02-20T10:00:32Z,Sunday,Winter,6473297,130902,1305,0.0204234410996436
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,【#NJU歌謡祭2021】Booo! ／ あまつかいまごころ cover( 天宮こころ・魔使マオ ) 【3D LIVE】,Live,174,2022-01-20T09:00:14Z,Thursday,Winter,1278211,32880,358,0.0260035314983207
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* ユキトキ┊天宮こころ 〖 歌ってみた 〗 3D LIVE,Live,272,2021-12-24T09:00:12Z,Friday,Winter,575460,17101,264,0.0301758593125499
vTubers,UCkIimWZ9gBJRamKF0rmPU8w,743000,✦ .* Snow halation-µ's (Cover)│♔Lilly Crown（夜見れな・鷹宮リオン・天宮こころ・椎名唯華）#りりくら,Cover,260,2020-12-23T13:00:10Z,Wednesday,Winter,1436925,32559,513,0.0230158150216608
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Haru no yokan / ChroNoiR,MV,221,2025-03-31T10:00:06Z,Monday,Spring,6555834,58993,1035,0.0091564246440651
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,深愛 / ChroNoiR,MV,223,2024-12-17T15:00:06Z,Tuesday,Winter,6038746,148120,2002,0.0248597970505797
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Ctrl Z / ChroNoiR,MV,230,2024-11-17T15:00:08Z,Sunday,Fall,832602,32893,824,0.0404959392362737
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,二人でゲームしている,MV,134,2024-07-18T08:23:07Z,Thursday,Summer,79820,4568,88,0.0583312453019293
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Catch Fire / ChroNoiR,MV,194,2024-07-16T15:00:06Z,Tuesday,Summer,1614293,42782,1006,0.0271251873111015
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Twilight / ChroNoiR,MV,300,2024-02-07T11:00:11Z,Wednesday,Winter,1317741,35886,721,0.0277801176407199
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,Torpor / ChroNoiR,MV,178,2024-01-15T10:00:07Z,Monday,Winter,1560381,36080,551,0.0234756767738135
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,VVS / ChroNoiR,MV,260,2024-01-08T09:00:09Z,Monday,Winter,6377515,112440,1730,0.0179019571102537
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,カオティックライバー / ChroNoiR,MV,158,2023-08-20T14:30:12Z,Sunday,Summer,2514413,52042,884,0.0210490480283072
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,ChroNoiR スターブラックゲイザー (#にじフェス2022_Day2 LIVE Special Edit Ver.),Live,266,2023-03-14T10:00:36Z,Tuesday,Spring,1432501,53101,974,0.037748664747878
vTubers,UCz6vnIbgiqFT9xUcD6Bp65Q,1180000,スターブラックゲイザー / ChroNoiR,MV,258,2022-08-22T10:30:12Z,Monday,Summer,3449531,72343,1559,0.0214237819576052
