style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,珂拉琪 九日 Nine Sols／熙歌 Cover【翻唱】,Cover,308,2024-06-30T10:00:48Z,Sunday,Summer,56839,2971,194,0.055683597529865
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,Hollow Hunger █ 熙歌Cygnus 【歌ってみた】,Cover,227,2024-05-20T11:41:20Z,Monday,Spring,70823,2610,90,0.0381232085621902
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,神っぽいな █ 熙歌Cygnus 【歌ってみた】,Cover,208,2024-04-29T11:00:07Z,Monday,Spring,95919,3457,128,0.0373752853970537
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,愛情的騙子我問你 / 熙歌 cover【翻唱】,Cover,272,2023-11-29T10:37:41Z,Wednesday,Fall,53775,3397,261,0.0680241748024174
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,〈U〉millennium parade / 極深空計劃【歌ってみた】,Cover,188,2023-06-16T12:00:57Z,Friday,Summer,215184,4256,80,0.0201501970406721
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,強風オールバック █ 熙歌Cygnus 【歌ってみた】,Cover,135,2023-05-20T10:45:07Z,Saturday,Spring,176596,7043,215,0.041099458651385
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,モザイクロール (Reloaded) / 熙歌 cover【歌ってみた】,Cover,161,2023-04-22T11:00:11Z,Saturday,Spring,90338,2919,108,0.0335074940777967
vTubers,UCIf6cffSRZqS7TUXbUAK_hw,103000,逆光 / 熙歌 cover【歌ってみた】,Cover,238,2022-11-23T11:30:06Z,Wednesday,Fall,275307,7431,303,0.0280922751691747
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,11 cover. (鄧紫棋)【厄倫蒂兒 Earendel】,Cover,240,2025-04-07T16:00:07Z,Monday,Spring,184732,4667,197,0.0263300348613126
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,埋 Buried(好樂團 GoodBand) cover. 【厄倫蒂兒 Earendel】,Cover,260,2024-12-16T15:30:06Z,Monday,Winter,34425,1694,62,0.0510094408133623
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,使一顆心免於哀傷(崩壞：星穹鐵道) cover. 【厄倫蒂兒 Earendel】,Cover,213,2024-12-02T15:45:06Z,Monday,Winter,50952,3598,117,0.0729117600879259
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,星屑の夜空 / 厄倫蒂兒 Earendel.【Official Music Video】,MV,373,2024-11-24T13:00:06Z,Sunday,Fall,146523,5817,186,0.0409696771155381
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,わたしのつばさ(中司雅美)  cover.【厄倫蒂兒 Earendel】,Cover,260,2024-07-01T15:30:06Z,Monday,Summer,39583,1960,38,0.0504762145365434
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,P5X【Wake up your hero】 / 厄倫蒂兒Earendel. 《女神異聞錄：夜幕魅影》Cover 【歌ってみた】#P5X #女神異聞錄夜幕魅影,Cover,211,2024-03-06T13:30:09Z,Wednesday,Spring,36738,1624,39,0.045266481572214
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,你知道星星多重嗎 falling cover. 【厄倫蒂兒 Earendel】,Cover,300,2023-12-30T16:00:10Z,Saturday,Winter,407301,6398,191,0.0161772251970901
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,【誕生日記念】晚餐歌(tuki.) cover. 【厄倫蒂兒 Earendel】,Cover,226,2023-11-25T13:20:08Z,Saturday,Fall,734034,11686,236,0.016241754469139
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,【周年記念】星になる( Islet feat.倚水) cover. 【厄倫蒂兒 Earendel】,Cover,241,2023-09-11T15:30:09Z,Monday,Fall,750488,11541,237,0.0156937885749006
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,On My Way / 厄倫蒂兒Earendel. 楓之谷M OST Cover 【歌ってみた】,Cover,255,2023-07-31T15:30:11Z,Monday,Summer,104346,2854,131,0.0286067506181358
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,愛じゃない - 厄倫蒂兒  ft. @SekiChannel  【Cover】,Cover,138,2023-06-05T15:45:07Z,Monday,Summer,309525,6463,110,0.0212357644778289
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,私は最強／ (ウタ from ONE PIECE FILM RED) cover. 【厄倫蒂兒 Earendel】,Cover,272,2023-03-10T15:00:08Z,Friday,Spring,90260,2741,83,0.0312873919787281
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,明仔載(盧廣仲) cover.  【厄倫蒂兒 Earendel】,Cover,223,2023-02-13T15:30:09Z,Monday,Winter,32443,1362,36,0.0430909595290201
vTubers,UCwzpXmWAFEVKH3VzwvSlY_w,171000,或是一首歌(田馥甄) cover.  【厄倫蒂兒 Earendel】,Cover,277,2023-02-09T15:00:11Z,Thursday,Winter,44353,1062,24,0.0244853786666065
