style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (instrumental),LangVer,199,2025-06-20T14:00:56Z,Friday,Summer,91199,7669,428,0.0887838682441693
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (official music video),MV,125,2025-06-20T14:00:54Z,Friday,Summer,1608038,83034,3264,0.0536666422062165
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - supernatural (official music video),MV,167,2025-05-19T14:01:10Z,Monday,Spring,9342468,270926,10907,0.030166868112366
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (Official Lyric Video),Lyric,203,2025-03-28T23:00:51Z,Friday,Spring,15836487,232313,4746,0.0149691658257289
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - intro (end of the world) (extended) (lyric visualizer),Lyric,162,2025-03-28T04:01:02Z,Friday,Spring,16285466,239304,7845,0.0151760471576312
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - warm (lyric visualizer),Lyric,202,2025-03-28T04:01:00Z,Friday,Spring,7786420,124642,4012,0.0165228693032227
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - past life (lyric visualizer),Lyric,216,2025-03-28T04:00:51Z,Friday,Spring,6756707,128879,5271,0.0198543462074054
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - dandelion (lyric visualizer),Lyric,205,2025-03-28T04:00:48Z,Friday,Spring,9428102,156188,5605,0.0171607180321129
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (lyric visualizer),Lyric,199,2025-03-28T04:00:04Z,Friday,Spring,13936145,171695,6062,0.0127551055187786
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - Hampstead (lyric visualizer),Lyric,217,2025-03-28T04:00:01Z,Friday,Spring,7459518,143016,5743,0.0199421732074378
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - Santa Tell Me (live version),Live,206,2024-12-23T18:45:01Z,Monday,Winter,2801025,209880,12273,0.0793113235333494
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - imperfect for you (live version),Live,184,2024-10-07T14:00:39Z,Monday,Fall,3753049,91446,3202,0.0252189619693214
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - we can’t be friends (wait for your love) (live version),Live,204,2024-10-06T14:00:37Z,Sunday,Fall,13341178,185172,4306,0.014202493962677
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,"Ariana Grande - yes, and? (live version)",Live,199,2024-10-05T14:00:00Z,Saturday,Fall,2005920,81914,2977,0.0423202321129456
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - supernatural (live version),Live,166,2024-10-04T14:00:01Z,Friday,Fall,8035709,156783,5459,0.0201901288361736
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - don’t wanna break up again (live version),Live,172,2024-10-03T14:00:06Z,Thursday,Fall,3805360,114921,3664,0.0311626232472091
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - eternal sunshine (live version),Live,209,2024-10-02T14:01:03Z,Wednesday,Fall,6113412,153711,5003,0.0259616070371177
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - intro (end of the world) (live version),Live,106,2024-10-01T14:00:09Z,Tuesday,Fall,4463952,197357,7873,0.0459749567199647
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - we can't be friends (wait for your love) - acoustic (live from jungle city studios),Live,188,2024-09-08T04:00:07Z,Sunday,Fall,1805283,66604,3337,0.0387424021607692
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - Too Close (official audio),MV,215,2024-08-22T04:00:34Z,Thursday,Summer,864090,56373,4216,0.0701188533601823
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - the boy is mine (instrumental),LangVer,176,2024-07-19T04:00:51Z,Friday,Summer,305386,14822,790,0.0511221863477697
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - the boy is mine (with brandy & monica) remix a cappella,Remix,213,2024-07-19T04:00:48Z,Friday,Summer,202322,13406,610,0.0692757090182975
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,"Ariana Grande, Brandy, Monica - the boy is mine (Remix) (Official Lyric Video)",Remix,213,2024-06-21T04:00:33Z,Friday,Summer,10233107,279429,12130,0.0284917376511356
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - the boy is mine (Official Music Video),MV,377,2024-06-07T14:00:06Z,Friday,Summer,47992162,1498550,56691,0.0324061458202279
