style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work' Dance Practice,Dance,190,2025-07-09T06:00:13Z,Wednesday,Summer,1493947,72555,1605,0.0496403152186791
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work' Choreography Video,Dance,200,2025-07-08T11:01:36Z,Tuesday,Summer,4281134,134829,2084,0.0319805453414913
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work (English Ver.)' (Official Audio),LangVer,181,2025-06-27T04:00:36Z,Friday,Summer,1188105,84421,1744,0.072523051413806
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work' Performance Video,Live,112,2025-06-08T15:00:05Z,Sunday,Summer,21351792,462112,15336,0.0223610271212833
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Pink Hoodie' Dance Practice (2024 SBS 가요대전 Ver.),Dance,117,2025-01-09T06:00:31Z,Thursday,Winter,750633,37981,1091,0.0520520680545619
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,'정준일 - 첫 눈' Cover by WINTER,LangVer,322,2025-01-07T07:00:05Z,Tuesday,Winter,6753865,147106,5417,0.0225830691019142
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,하이하잇 여기는 밀라노👋 | KARINA at Prada Spring/Summer 2025 Womenswear fashion show | katarinabluu-log,Live,389,2024-11-10T13:00:32Z,Sunday,Fall,249926,14655,539,0.0607939950225266
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 카리나 ‘UP (KARINA Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,178,2024-11-02T13:00:29Z,Saturday,Fall,2084441,57378,1552,0.0282713686787009
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 닝닝 ‘Bored! (NINGNING Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,188,2024-11-02T13:00:02Z,Saturday,Fall,1074603,40438,862,0.0384327979728327
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 윈터 ‘Spark (WINTER Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,208,2024-11-01T13:00:36Z,Friday,Fall,1126159,40807,899,0.037033846907941
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 지젤 ‘Dopamine (GISELLE Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,200,2024-11-01T13:00:17Z,Friday,Fall,666134,35873,720,0.0549333917800322
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,많이 사랑해 주시고 격려해 주시고 아껴주시고 성화해 주시고 웃어주세요🥰🎵 | 에스파 ‘위플래시’ MV 리액션 (aespa ‘Whiplash’ MV Reaction),MV,337,2024-10-28T13:00:33Z,Monday,Fall,1363674,66214,927,0.0492353744369988
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Whiplash' Dance Practice,Dance,192,2024-10-24T06:00:02Z,Thursday,Fall,11078840,243772,4312,0.0223925970588978
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Just Another Girl' (Official Audio),MV,185,2024-10-21T09:04:00Z,Monday,Fall,1639488,62194,1510,0.0388560331030175
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Flowers' (Official Audio),MV,191,2024-10-21T09:03:00Z,Monday,Fall,2653141,78608,1986,0.0303768250537758
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Pink Hoodie' (Official Audio),MV,147,2024-10-21T09:02:00Z,Monday,Fall,1408989,47433,977,0.0343579687279318
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,"aespa 에스파 'Flights, Not Feelings' (Official Audio)",MV,182,2024-10-21T09:01:01Z,Monday,Fall,1431178,57516,1545,0.0412674034955819
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Kill It' (Official Audio),MV,200,2024-10-21T09:00:42Z,Monday,Fall,2594925,98166,2541,0.0388092141391369
