style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《No Label》Official Audio - 影集「妮波自由式」片頭主題曲,MV,203,2024-10-10T16:00:27Z,Thursday,Fall,129456,806,48,0.0065968359906068
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《查無此心 The Abandoned》Official Music Video - 電影「查無此心」同名主題曲,MV,280,2023-08-15T11:00:47Z,Tuesday,Summer,2007001,8245,285,0.0042501224463764
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《天亮之前 Dusk Till Dawn》Official Music Video - 影集「八尺門的辯護人」主題曲,MV,246,2023-07-14T04:00:07Z,Friday,Summer,1322927,7123,261,0.0055815627014944
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 #你是我的歌 You Are My Song》Official Music Video - 電影《不二兄弟》主題曲,MV,230,2023-02-18T04:00:16Z,Saturday,Winter,864559,5117,196,0.0061453295842157
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《38一朵花 Flower》Official Music Video,MV,173,2022-07-25T12:00:28Z,Monday,Summer,1172662,5034,241,0.0044983123866894
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《姊妹旅行 Vacation Sisters》Official Live Performance MV,Live,236,2022-06-03T12:00:13Z,Friday,Summer,1121023,1831,108,0.0017296701316565
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《摯友 Best Friend》Official Music Video,MV,333,2022-05-11T12:00:14Z,Wednesday,Spring,35312475,89498,3508,0.0026338000947257
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《麥擱貢 Michael Go》Official Music Video,MV,216,2022-04-22T12:00:09Z,Friday,Spring,1603732,5507,267,0.0036003521785435
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《聊聊天 Conversation》Official Music Video,MV,378,2022-04-08T12:00:48Z,Friday,Spring,1901529,3345,199,0.001863763318887
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《我怨 Blame》Official Music Video,MV,393,2022-03-08T12:00:11Z,Tuesday,Spring,1901046,7648,493,0.0042823792796176
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《ROMADIW》Dance Cover by @rubyredli,Dance,181,2022-01-20T14:00:12Z,Thursday,Winter,17961,523,48,0.0317911029452703
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《ROMADIW 一起來唱歌》Official Live Performance MV,Live,220,2022-01-11T12:00:12Z,Tuesday,Winter,2184144,11173,442,0.0053178728142466
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《盡情旋轉 Turn》Official Music Video,MV,253,2021-11-23T12:00:15Z,Tuesday,Fall,3309769,8549,331,0.0026829666964673
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 最悲傷的事 More Than Sorrow 》Official Music Video - 比悲傷更悲傷的故事 | 影集版 | 主題曲,MV,297,2021-10-14T09:16:54Z,Thursday,Fall,3123911,21558,607,0.0070952725605819
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 海語者 》Official Music Video - 手遊『天諭』主題曲,MV,240,2021-08-20T04:00:12Z,Friday,Summer,220876,2858,138,0.0135641717524765
TW,UCURRzgKx4DkVozbOjFflMpg,305000,【 I’m 夜貓子】Heartbreak Anniversary - Giveon（cover by A-Lin）,Cover,99,2021-04-05T16:21:05Z,Monday,Spring,18039,497,34,0.0294362215200399
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin feat.倪子岡《不屑完美 Anti-Perfect》Official Live Music Video,Live,192,2021-01-13T13:00:12Z,Wednesday,Winter,170965,2737,171,0.0170093293949053
